"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I8VCUMDF","journalArticle","2014","Schneider, Bertrand; Pea, Roy","Toward collaboration sensing","International Journal of Computer-Supported Collaborative Learning","","1556-1615","10.1007/s11412-014-9202-y","https://doi.org/10.1007/s11412-014-9202-y","We describe preliminary applications of network analysis techniques to eye-tracking data collected during a collaborative learning activity. This paper makes three contributions: first, we visualize collaborative eye-tracking data as networks, where the nodes of the graph represent fixations and edges represent saccades. We found that those representations can serve as starting points for formulating research questions and hypotheses about collaborative processes. Second, network metrics can be computed to interpret the properties of the graph and find proxies for the quality of students’ collaboration. We found that different characteristics of our graphs correlated with different aspects of students’ collaboration (for instance, the extent to which students reached consensus was associated with the average size of the strongly connected components of the graphs). Third, we used those characteristics to predict the quality of students’ collaboration by feeding those features into a machine-learning algorithm. We found that among the eight dimensions of collaboration that we considered, we were able to roughly predict (using a median-split) students’ quality of collaboration with an accuracy between ~85 and 100 %. We conclude by discussing implications for developing “collaboration-sensing” tools, and comment on implementing this approach for formal learning environments.","2014-12-01","2020-08-25 09:46:48","2020-08-25 09:46:48","2020-08-25 09:46:48","371-395","","4","9","","Intern. J. Comput.-Support. Collab. Learn.","","","","","","","","en","","","","","Springer Link","","","","/Users/htk/Zotero/storage/DT8ADIGI/Schneider and Pea - 2014 - Toward collaboration sensing.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCD5GFRL","conferencePaper","2015","Schlösser, Christian; Schlieker-Steens, Philipp; Kienle, Andrea; Harrer, Andreas","Using Real-Time Gaze Based Awareness Methods to Enhance Collaboration","Collaboration and Technology","978-3-319-22747-4","","10.1007/978-3-319-22747-4_2","","Using eye-tracking in applications can be used to identify which areas are looked at by their users. In collaborative software this information can be transmitted to partners in real-time to provide an additional information channel. This paper compares different types of real-time gaze data visualizations. For this purpose, a study with three groups is conducted, who have to solve a collaborative puzzle. In every group the gaze data from each participant is recorded and visualized in a different way depending on the specific group condition. The aim is to evaluate a new context-based visualization to be able to make use of the known advantages of coordinate-based gaze data visualization outside of the domain of What-You-See-Is-What-I-See (WYSIWIS) interfaces.","2015","2020-08-25 09:23:39","2020-08-25 09:23:39","","19-27","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","/Users/htk/Zotero/storage/VHTGDJ6E/Schlösser et al. - 2015 - Using Real-Time Gaze Based Awareness Methods to En.pdf","","","Additional Information Channel; Gaze Data; Real-time Gaze; Shared Gaze; Specific Status Groups","Baloian, Nelson; Zorian, Yervant; Taslakian, Perouz; Shoukouryan, Samvel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84QZCW3V","journalArticle","2010","Winne, Philip H.","Improving measurements of self-regulated learning","Educational psychologist","","","","","","2010","2020-08-24 21:01:29","2020-08-24 21:01:30","","267–276","","4","45","","","","","","","","","","","","","","","Google Scholar","","Publisher: Taylor & Francis","","/Users/htk/Zotero/storage/56J2254P/00461520.2010.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LBSZ57A","conferencePaper","2017","Spikol, Daniel; Ruffaldi, Emanuele; Cukurova, Mutlu","Using Multimodal Learning Analytics to Identify Aspects of Collaboration in Project-Based Learning","","","","","","Collaborative learning activities are a key part of education and are part of many common teaching approaches including problem-based learning, inquiry-based learning, and project-based learning. However, in open-ended collaborative small group work where learners make unique solutions to tasks that involve robotics, electronics, programming, and design artefacts evidence on the effectiveness of using these learning activities are hard to find. The paper argues that multimodal learning analytics (MMLA) can offer novel methods that can generate unique information about what happens when students are engaged in collaborative, project-based learning activities. Through the use of multimodal learning analytics platform, we collected various streams of data, processed and extracted multimodal interactions to answer the following question: which features of MMLA are good predictors of collaborative problem-solving in open-ended tasks in project-based learning? Manual entered scores of CPS were regressed using machine-learning methods. The answer to the question provides potential ways to automatically identify aspects of collaboration in projectbased learning.","2017","2020-08-24 08:56:39","2020-08-24 10:27:19","","8","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/htk/Zotero/storage/74FEQKFA/Spikol et al. - 2017 - Using Multimodal Learning Analytics to Identify As.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSCL","","","","","","","","","","","","","","",""
"PPL3GZY2","conferencePaper","2016","Evans, Abigail C; Wobbrock, Jacob O; Davis, Katie","Modeling Collaboration Patterns on an Interactive Tabletop in a Classroom Setting","Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing - CSCW '16","978-1-4503-3592-8","","10.1145/2818048.2819972","http://dl.acm.org/citation.cfm?doid=2818048.2819972","Interaction logs generated by educational software can provide valuable insights into the collaborative learning process and identify opportunities for technology to provide adaptive assistance. Modeling collaborative learning processes at tabletop computers is challenging, as the computer is only able to log a portion of the collaboration, namely the touch events on the table. Our previous lab study with adults showed that patterns in a group’s touch interactions with a tabletop computer can reveal the quality of aspects of their collaborative process. We extend this understanding of the relationship between touch interactions and the collaborative process to adolescent learners in a field setting and demonstrate that the touch patterns reflect the quality of collaboration more broadly than previously thought, with accuracies up to 84.2%. We also present an approach to using the touch patterns to model the quality of collaboration in real-time.","2016","2020-08-24 10:27:19","2020-08-24 10:27:19","2020-08-24 10:27:19","858-869","","","","","","","","","","","ACM Press","San Francisco, California, USA","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/6KGZLEKT/Evans et al. - 2016 - Modeling Collaboration Patterns on an Interactive .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 19th ACM Conference","","","","","","","","","","","","","","",""
"3J5QG8FH","conferencePaper","2013","Schneider, Bertrand; Pea, Roy","Using Eye-Tracking Technology to Support Visual Coordination in Collaborative Problem-Solving Groups","CSCL 2013 Proceedings","","","","","In this paper we present the results of an eye-tracking study on collaborative problem-solving dyads. Dyads remotely worked on contrasting cases to study how the human brain processes visual information. In one condition, dyads saw the gaze of their partner on the screen; in a control group, they did not have access to this information. Results indicate that this real-time mutual gaze perception intervention helped students achieve a higher quality of collaboration and a higher learning gain. Implications for supporting group collaboration are discussed.","2013","2020-08-06 07:32:20","2020-08-06 08:09:17","","8","","","1","","","","","","","","","","en","","","","","Zotero","","","","/Users/htk/Zotero/storage/5PXBTARB/Schneider and Pea - 2013 - Using Eye-Tracking Technology to Support Visual Co.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYY4DEAH","journalArticle","2015","Schneider, Bertrand; Pea, Roy","Does Seeing One Another’s Gaze Affect Group Dialogue? A Computational Approach","Journal of Learning Analytics","","1929-7750","10.18608/jla.2015.22.9","https://learning-analytics.info/index.php/JLA/article/view/4260","","2015-12-07","2020-08-04 07:32:24","2020-08-04 07:32:24","2020-08-04 07:32:24","107-133","","2","2","","Learning Analytics","Does Seeing One Another’s Gaze Affect Group Dialogue?","","","","","","","en","Copyright (c) 2015 Journal of Learning Analytics","","","","learning-analytics.info","","Number: 2","","/Users/htk/Zotero/storage/DHQ8D64T/Schneider and Pea - 2015 - Does Seeing One Another’s Gaze Affect Group Dialog.pdf; /Users/htk/Zotero/storage/JHCVHYWP/4260.html","","","CSCL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYCMKH55","conferencePaper","2019","Vrzakova, Hana; Amon, Mary Jean; Stewart, Angela EB; D'Mello, Sidney K.","Dynamics of visual attention in multiparty collaborative problem solving using multidimensional recurrence quantification analysis","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems","","","","","","2019","2020-08-03 23:05:50","2020-08-03 23:05:50","","1–14","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/49NXEZU7/Vrzakova et al. - 2019 - Dynamics of visual attention in multiparty collabo.pdf; /Users/htk/Zotero/storage/4IYA9ACE/3290605.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIVGN7JV","bookSection","2018","Xie, Bin; Reilly, Joseph M.; Dich, Yong Li; Schneider, Bertrand","Augmenting Qualitative Analyses of Collaborative Learning Groups Through Multi-Modal Sensing","","","","","","","2018","2020-08-03 23:05:31","2020-08-03 23:05:31","","","","","","","","","","","","","International Society of the Learning Sciences, Inc.[ISLS].","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/7E9GYZSE/910.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFNYW3IJ","conferencePaper","2019","Muller, Philipp Matthias; Bulling, Andreas","Emergent Leadership Detection Across Datasets","2019 International Conference on Multimodal Interaction","","","","","","2019","2020-08-03 23:04:58","2020-08-03 23:04:58","","274–278","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/MXHXEUWK/Muller and Bulling - 2019 - Emergent Leadership Detection Across Datasets.pdf; /Users/htk/Zotero/storage/I87HBY4P/3340555.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMQILYXB","conferencePaper","2016","Yoon, Dongwook; Chen, Nicholas; Randles, Bernie; Cheatle, Amy; Löckenhoff, Corinna E.; Jackson, Steven J.; Sellen, Abigail; Guimbretière, François","RichReview++ Deployment of a Collaborative Multi-modal Annotation System for Instructor Feedback and Peer Discussion","Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing","","","","","","2016","2020-08-03 23:02:59","2020-08-03 23:02:59","","195–205","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/MD2ZXL2H/Yoon et al. - 2016 - RichReview++ Deployment of a Collaborative Multi-m.pdf; /Users/htk/Zotero/storage/ZZKHC9UC/2818048.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"293DE5WH","conferencePaper","2018","D'Angelo, Sarah; Gergle, Darren","An eye for design: gaze visualizations for remote collaborative work","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","","","","","","2018","2020-08-03 23:01:36","2020-08-03 23:01:36","","1–12","","","","","","An eye for design","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/ZKLGYBN6/D'Angelo and Gergle - 2018 - An eye for design gaze visualizations for remote .pdf; /Users/htk/Zotero/storage/87Z3CNA3/3173574.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IARLSNWT","conferencePaper","2010","Li, Weifeng; Nüssli, Marc-Antoine; Jermann, Patrick","Gaze quality assisted automatic recognition of social contexts in collaborative Tetris","International Conference on Multimodal Interfaces and the Workshop on Machine Learning for Multimodal Interaction","","","","","","2010","2020-08-03 23:01:05","2020-08-03 23:01:05","","1–8","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/XD5W2TZV/1891903.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4NSWCLZ","journalArticle","2018","Schneider, Bertrand; Sharma, Kshitij; Cuendet, Sebastien; Zufferey, Guillaume; Dillenbourg, Pierre; Pea, Roy","Leveraging mobile eye-trackers to capture joint visual attention in co-located collaborative learning","International Journal of Computer-Supported Collaborative Learning","","","","","","2018","2020-08-03 23:00:28","2020-08-03 23:00:28","","241–261","","3","13","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","/Users/htk/Zotero/storage/4BH6VG5E/s11412-018-9281-2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K42FU58F","bookSection","2015","Sharma, Kshitij; Caballero, Daniela; Verma, Himanshu; Jermann, Patrick; Dillenbourg, Pierre","Looking AT versus looking THROUGH: A dual eye-tracking study in MOOC context","","","","","","","2015","2020-08-03 23:00:04","2020-08-03 23:00:04","","","","","","","","Looking AT versus looking THROUGH","","","","","International Society of the Learning Sciences, Inc.[ISLS].","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ9INWAR","conferencePaper","2011","Gergle, Darren; Clark, Alan T.","See What I’m Saying? Using Dyadic Mobile Eye Tracking to Study Collaborative Reference","Proceedings of the ACM 2011 conference on Computer supported cooperative work","","","","","","2011","2020-08-03 22:58:57","2020-08-03 22:58:57","","435–444","","","","","","See what I'm saying?","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/45YSJWNK/Gergle and Clark - 2011 - See what I'm saying Using dyadic mobile eye track.pdf; /Users/htk/Zotero/storage/DP9JV5N2/1958824.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGNR5GCM","conferencePaper","2014","Grafsgaard, Joseph F.; Wiggins, Joseph B.; Vail, Alexandria Katarina; Boyer, Kristy Elizabeth; Wiebe, Eric N.; Lester, James C.","The additive value of multimodal features for predicting engagement, frustration, and learning during tutoring","Proceedings of the 16th International Conference on Multimodal Interaction","","","","","","2014","2020-08-03 22:57:02","2020-08-03 22:57:02","","42–49","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/Z949PVLM/Grafsgaard et al. - 2014 - The additive value of multimodal features for pred.pdf; /Users/htk/Zotero/storage/JYTKTHEE/2663204.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P24ZH4ED","conferencePaper","2016","D'Angelo, Sarah; Gergle, Darren","Gazed and confused: Understanding and designing shared gaze for remote collaboration","Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems","","","","","","2016","2020-08-03 22:56:37","2020-08-03 22:56:37","","2492–2496","","","","","","Gazed and confused","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/W5AA9L9U/D'Angelo and Gergle - 2016 - Gazed and confused Understanding and designing sh.pdf; /Users/htk/Zotero/storage/LENZMS9Y/2858036.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G68JBG6M","conferencePaper","2016","Okada, Shogo; Ohtake, Yoshihiko; Nakano, Yukiko I.; Hayashi, Yuki; Huang, Hung-Hsuan; Takase, Yutaka; Nitta, Katsumi","Estimating communication skills using dialogue acts and nonverbal features in multiple discussion datasets","Proceedings of the 18th ACM International Conference on Multimodal Interaction","","","","","","2016","2020-08-03 22:55:26","2020-08-03 22:55:26","","169–176","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/7PWEDP3W/2993148.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQVKD4PS","conferencePaper","2012","Jayagopi, Dineshbabu; Sanchez-Cortes, Dairazalia; Otsuka, Kazuhiro; Yamato, Junji; Gatica-Perez, Daniel","Linking speaking and looking behavior patterns with group composition, perception, and performance","Proceedings of the 14th ACM international conference on Multimodal interaction","","","","","This paper addresses the task of mining typical behavioral patterns from small group face-to-face interactions and linking them to social-psychological group variables. Towards this goal, we define group speaking and looking cues by aggregating automatically extracted cues at the individual and dyadic levels. Then, we define a bag of nonverbal patterns (Bag-of-NVPs) to discretize the group cues. The topics learnt using the Latent Dirichlet Allocation (LDA) topic model are then interpreted by studying the correlations with group variables such as group composition, group interpersonal perception, and group performance. Our results show that both group behavior cues and topics have significant correlations with (and predictive information for) all the above variables. For our study, we use interactions with unacquainted members i.e. newly formed groups.","2012","2020-08-03 22:52:54","2020-08-03 22:53:49","","433–440","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/V9H8VE9V/Jayagopi et al. - 2012 - Linking speaking and looking behavior patterns wit.pdf; /Users/htk/Zotero/storage/UWX8E4CI/2388676.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2EPYQDE","conferencePaper","2015","Nakano, Yukiko I.; Nihonyanagi, Sakiko; Takase, Yutaka; Hayashi, Yuki; Okada, Shogo","Predicting participation styles using co-occurrence patterns of nonverbal behaviors in collaborative learning","Proceedings of the 2015 ACM on International Conference on Multimodal Interaction","","","","","","2015","2020-08-03 22:51:46","2020-08-03 22:51:46","","91–98","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/32KRX66E/2818346.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTJG4MRL","conferencePaper","2018","Lin, Yun-Shao; Lee, Chi-Chun","Using Interlocutor-Modulated Attention BLSTM to Predict Personality Traits in Small Group Interaction","Proceedings of the 2018 on International Conference on Multimodal Interaction - ICMI '18","978-1-4503-5692-3","","10.1145/3242969.3243001","http://dl.acm.org/citation.cfm?doid=3242969.3243001","Small group interaction occurs often in workplace and education settings. Its dynamic progression is an essential factor in dictating the final group performance outcomes. The personality of each individual within the group is reflected in his/her interpersonal behaviors with other members of the group as they engage in these task-oriented interactions. In this work, we propose an interlocutor-modulated attention BSLTM (IM-aBLSTM) architecture that models an individual’s vocal behaviors during small group interactions in order to automatically infer his/her personality traits. The interlocutor-modulated attention mechanism jointly optimize the relevant interpersonal vocal behaviors of other members of group during interactions. In specifics, we evaluate our proposed IM-aBLSTM in one of the largest small group interaction database, the ELEA corpus. Our framework achieves a promising unweighted recall accuracy of 87.9% in ten different binary personality trait prediction tasks, which outperforms the best results previously reported on the same database by 10.4% absolute. Finally, by analyzing the interpersonal vocal behaviors in the region of high attention weights, we observe several distinct intra- and inter-personal vocal behavior patterns that vary as a function of personality traits.","2018","2020-08-03 13:25:23","2020-08-03 13:28:42","2020-08-03 13:25:23","163-169","","","","","","","","","","","ACM Press","Boulder, CO, USA","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/3T3YZZ9H/Lin and Lee - 2018 - Using Interlocutor-Modulated Attention BLSTM to Pr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 2018 on International Conference on Multimodal Interaction - ICMI '18","","","","","","","","","","","","","","",""
"89FK7HQ7","conferencePaper","2010","Lepri, Bruno; Subramanian, Ramanathan; Kalimeri, Kyriaki; Staiano, Jacopo; Pianesi, Fabio; Sebe, Nicu","Employing social gaze and speaking activity for automatic determination of the extraversion trait","International conference on multimodal interfaces and the workshop on machine learning for multimodal interaction","","","","","In order to predict the Extraversion personality trait, we exploit medium-grained behaviors enacted in group meetings, namely, speaking time and social attention (social gaze). The latter will be further distinguished into attention given to the group members and attention received from them. The results of our work confirm many of our hypotheses: a) speaking time and (some forms of) social gaze are effective in automatically predicting Extraversion; b) classification accuracy is affected by the size of the time slices used for analysis, and c) to a large extent, the consideration of the social context does not add much to accuracy prediction, with an important exception concerning social gaze.","2010","2020-07-28 13:24:27","2020-07-28 13:24:37","","1–8","","","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/htk/Zotero/storage/VG9GUCWQ/Lepri et al. - 2010 - Employing social gaze and speaking activity for au.pdf; /Users/htk/Zotero/storage/KW67G3WQ/1891903.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9R6ADCGK","conferencePaper","2008","Hung, Hayley; Jayagopi, Dinesh Babu; Ba, Sileye; Odobez, Jean-Marc; Gatica-Perez, Daniel","Investigating automatic dominance estimation in groups from visual attention and speaking activity","Proceedings of the 10th international conference on Multimodal interfaces","978-1-60558-198-9","","10.1145/1452392.1452441","http://doi.org/10.1145/1452392.1452441","We study the automation of the visual dominance ratio (VDR); a classic measure of displayed dominance in social psychology literature, which combines both gaze and speaking activity cues. The VDR is modified to estimate dominance in multi-party group discussions where natural verbal exchanges are possible and other visual targets such as a table and slide screen are present. Our findings suggest that fully automated versions of these measures can estimate effectively the most dominant person in a meeting and can match the dominance estimation performance when manual labels of visual attention are used.","2008-10-20","2020-07-27 09:20:18","2020-07-27 09:20:18","2020-07-27","233–236","","","","","","","ICMI '08","","","","Association for Computing Machinery","Chania, Crete, Greece","","","","","","ACM Digital Library","","","","/Users/htk/Zotero/storage/M3WF8REX/Hung et al. - 2008 - Investigating automatic dominance estimation in gr.pdf","","","audio-visual feature extraction; dominance modeling; meetings; visual focus of attention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWV689GH","conferencePaper","2016","Fang, Sheng; Achard, Catherine; Dubuisson, Séverine","Personality classification and behaviour interpretation: an approach based on feature categories","Proceedings of the 18th ACM International Conference on Multimodal Interaction - ICMI 2016","978-1-4503-4556-9","","10.1145/2993148.2993201","http://dl.acm.org/citation.cfm?doid=2993148.2993201","This paper focuses on recognizing and understanding social dimensions (the personality traits and social impressions) during small group interactions. We extract a set of audio and visual features, which are divided into three categories: intra-personal features (i.e. related to only one participant), dyadic features (i.e. related to a pair of participants) and one vs all features (i.e. related to one participant versus the other members of the group). First, we predict the personality traits (PT) and social impressions (SI) by using these three feature categories. Then, we analyse the interplay between groups of features and the personality traits/social impressions of the interacting participants. The prediction is done by using Support Vector Machine and Ridge Regression which allows to determine the most dominant features for each social dimension. Our experiments show that the combination of intra-personal and one vs all features can greatly improve the prediction accuracy of personality traits and social impressions. Prediction accuracy reaches 81.37% for the social impression named ’Rank of Dominance’. Finally, we draw some interesting conclusions about the relationship between personality traits/social impressions and social features.","2016","2020-07-27 08:18:50","2020-07-27 08:18:50","2020-07-27 08:18:50","225-232","","","","","","Personality classification and behaviour interpretation","","","","","ACM Press","Tokyo, Japan","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/PQQRBCWP/Fang et al. - 2016 - Personality classification and behaviour interpret.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 18th ACM International Conference","","","","","","","","","","","","","","",""
"CHEGFJ6D","conferencePaper","2014","Lubold, Nichola; Pon-Barry, Heather","Acoustic-Prosodic Entrainment and Rapport in Collaborative Learning Dialogues","Proceedings of the 2014 ACM workshop on Multimodal Learning Analytics Workshop and Grand Challenge - MLA '14","978-1-4503-0488-7","","10.1145/2666633.2666635","http://dl.acm.org/citation.cfm?doid=2666633.2666635","In spoken dialogue analysis, the speech signal is a rich source of information. We explore in this paper how low level features of the speech signal, such as pitch, loudness, and speaking rate, can inform a model of student interaction in collaborative learning dialogues. For instance, can we observe the way that two people’s manners of speaking change over time to model something like rapport? By detecting interaction qualities such as rapport, we can better support collaborative interactions, which have been shown to be highly conducive to learning. For this, we focus on one particular phenomenon of spoken conversation, known as acoustic-prosodic entrainment, where dialogue partners become more similar to each other in their pitch, loudness, or speaking rate during the course of a conversation. We examine whether acoustic-prosodic entrainment is present in a novel corpus of collaborative learning dialogues, how people appear to entrain, to what degree, and report on the acoustic-prosodic features which people entrain on the most. We then investigate whether entrainment can facilitate detection of rapport, a social quality of the interaction. We ﬁnd that entrainment does correlate to rapport; speakers appear to entrain primarily by matching their prosody on a turn-by-turn basis, and pitch is the most signiﬁcant acoustic-prosodic feature people entrain on when rapport is present.","2014","2020-07-21 13:11:24","2020-07-21 13:11:24","2020-07-21 13:11:24","5-12","","","","","","","","","","","ACM Press","Istanbul, Turkey","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/XPTKEJW3/Lubold and Pon-Barry - 2014 - Acoustic-Prosodic Entrainment and Rapport in Colla.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2014 ACM workshop","","","","","","","","","","","","","","",""
"EQPJ5L9B","conferencePaper","2018","Stewart, Angela E.B.; Keirn, Zachary A.; D'Mello, Sidney K.","Multimodal Modeling of Coordination and Coregulation Patterns in Speech Rate during Triadic Collaborative Problem Solving","Proceedings of the 2018 on International Conference on Multimodal Interaction  - ICMI '18","978-1-4503-5692-3","","10.1145/3242969.3242989","http://dl.acm.org/citation.cfm?doid=3242969.3242989","We model coordination and coregulation patterns in 33 triads engaged in collaboratively solving a challenging computer programming task for approximately 20 minutes. Our goal is to prospectively model speech rate (words/sec) – an important signal of turn taking and active participation – of one teammate (A or B or C) from time lagged nonverbal signals (speech rate and acoustic-prosodic features) of the other two (i.e., A + B → C; A + C → B; B + C → A) and task-related context features. We trained feed-forward neural networks (FFNNs) and long shortterm memory recurrent neural networks (LSTMs) using grouplevel nested cross-validation. LSTMs outperformed FFNNs and a chance baseline and could predict speech rate up to 6s into the future. A multimodal combination of speech rate, acousticprosodic, and task context features outperformed unimodal and bimodal signals. The extent to which the models could predict an individual’s speech rate was positively related to that individual’s scores on a subsequent posttest, suggesting a link between coordination/coregulation and collaborative learning outcomes. We discuss applications of the models for real-time systems that monitor the collaborative process and intervene to promote positive collaborative outcomes.","2018","2020-07-21 13:08:48","2020-07-21 13:08:48","2020-07-21 13:08:48","21-30","","","","","","","","","","","ACM Press","Boulder, CO, USA","en","","","","","DOI.org (Crossref)","","","","/Users/htk/Zotero/storage/QY4487K3/Stewart et al. - 2018 - Multimodal Modeling of Coordination and Coregulati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2018","","","","","","","","","","","","","","",""
"6SK85LMG","journalArticle","2016","Schneider, Bertrand; Sharma, Kshitij; Cuendet, Sébastien; Zufferey, Guillaume; Dillenbourg, Pierre; Pea, Roy","Using Mobile Eye-Trackers to Unpack the Perceptual Benefits of a Tangible User Interface for Collaborative Learning","ACM Transactions on Computer-Human Interaction","","1073-0516","10.1145/3012009","http://doi.org/10.1145/3012009","In this study, we investigated the way users memorize, analyze, collaborate, and learn new concepts on a Tangible User Interface (TUI). Twenty-seven pairs of apprentices in logistics (N = 54) interacted with an interactive simulation of a warehouse. Their task was to discover efficient design principles for building storehouses. In a between-subjects experimental design, half of the participants used 3D physical shelves, whereas the other half used 2D paper shelves. This manipulation allowed us to control for the “representational effect” of 3D tangibles: the first group saw the warehouse as a small-scale model with realistic shelves, whereas the second group had access to a more abstract layout with rectangular pieces of paper. Both groups interacted with the system in the same way. We found that participants in the first group (i.e., who used 3D realistic shelves) better memorized a warehouse layout, built a more efficient model, and scored higher on a learning test. Additionally, students wore eye-tracking goggles while completing those tasks; preliminary results suggest that 3D interfaces increased joint visual attention, which was found to be a significant predictor for participants’ task performance and learning gains. Implications for designing TUIs in collaborative settings are discussed.","2016-12-09","2020-07-21 07:54:46","2020-07-21 07:54:46","2020-07-21 07:54:46","39:1–39:23","","6","23","","ACM Trans. Comput.-Hum. Interact.","","","","","","","","","","","","","December 2016","","","","/Users/htk/Zotero/storage/9KV4VPU6/Schneider et al. - 2016 - Using Mobile Eye-Trackers to Unpack the Perceptual.pdf","","","collaborative learning; eye-tracking; Tangible interface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
