id,paper_id_new,year,paper_title,data,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_smaller_standardized,metric_IG_category,metric_IG_specific,data_per_metric,outcome_new,outcome_instrument,outcome_smaller_category_new,outcome_larger_category_new,analysis_and_results mm-oo:analysis:resultsig,outcome -significance,test_type_standard,test_grouped,outcome_larger_category_corrected,metric_larger_category_corrected
31,31,2016,Personality classification and behaviour interpretation: An approach based on feature categories,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Intra-Personal Features
2) Dyadic Features
3) One Vs All Features","1) Head
2) Head
3) Verbal","1) Facial Expressions
2) Facial Expressions
3) Speech Features","1) Facial Expressions
2) Facial Expressions
3) Speech Features","1) Individual
 2) Group
 3) Group","1) pure_indiv
2) synchro
3) synchro","1) II, III
2) II, III
3) II, III","a) personality
B) social perception","a) survey
B) survey","a) group composition
B) interpersonal relationship","a) condition
B) process","1-A: regression: 73.53%
1-B: regression: 76.47%
2-A: regression: 60.54%
2-B: regression: 66.42%
3-A: regression: 65.69%
3-B: regression: 73.53%","a) 1
B) 1","regression
regression
regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) condition
B) process","1) Head
2) Head
3) Verbal"
32,32,2008,Investigating Automatic Dominance Estimation in Groups From Visual Attention and Speaking Activity,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Audio Energy Features
2) Visual Attention","1) Verbal
2) Gaze","1) Speech Features
2) Visual Attention","1) Speech Features
2) Visual Attention","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) III
2) II",a) dominance,a) human evaluation,a) group composition,a) condition,1+2-A: sup. machine learning: (79.4%),a) 1,machine learning,machine-learning,a) condition,"1) Verbal
2) Gaze"
33,33,2017,High Accuracy Detection of Collaboration From Log Data and Superficial Speech Features,"II) Video
III) Audio
V) Log Data
XII) Other","II) Camera
III) Microphone
V) Digital Pen
XII) Digital Pen","II) NS
III) NS
V) Fact (Formative Assessment Using Computational Technology)
XII) NS","1) Card Movements
2) Scrolling
3) Zooming
4) Audio Features","1) Log Data
2) Log Data
3) Log Data
4) Verbal","1) Task-Related
2) Task-Related
3) Task-Related
4) Speech Features","1) Task-Related
2) Task-Related
3) Task-Related
4) Speech Features","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv","1) V
2) V
3) V
4) III","a) collaboration
B) asymmetric contribution
c) cooperation","a) human evaluation
B) human evaluation
c) human evaluation","a) coordination
a) communication
B) coordination
c) coordination","a) process
B) process
c) process","1+2+3+4-A+C: sup. machine learning: (96%)
1+2+3+4-A+B+C: sup. machine learning: (86%)","a) 1
B) 1
c) 1","machine learning
machine learning","machine-learning
machine-learning","a) process
B) process
c) process","1) Log Data
2) Log Data
3) Log Data
4) Verbal"
34,34,2018,Using Interlocutor-Modulated Attention BLSTM to Predict Personality Traits in Small Group Interaction,III) Audio,III) NS,III) NS,1) Speech Utterances,1) Verbal,1) Speech Content,1) Speech Content,1) Individual,1) pure_indiv,1) III,a) personality,a) survey ,a) group composition,a) condition,1-A: sup. machine learning: (87.9%),a) 1,machine learning,machine-learning,a) condition,1) Verbal
35,35,2019,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,I) Eye Gaze,I) Eye Tracker,I) Eyetribe,"1) Gaze Area Of Interest
2) Cross-Recurrence Quantification Analysis
3) Multidimensional Recurrence Quantification Analysis","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Individual
 2) Group
 3) Group","1) pure_indiv
2) synchro
3) synchro","1) I
2) I
3) I","a) construction of shared knowledge
B) negotiation
c) coordination
D) performance
E) performance","a) human evaluation
B) human evaluation
c) human evaluation
D) human evaluation
E) learning test ","a) coordination
B) communication
c) coordination
D) performance
E) learning","a) process
B) process
c) process
D) product
E) product","2-A: regression: sig
3-B: regression: sig
3-C: regression: sig
2-D: regression: nonsig
2-E: regression: sig
2-D: regression: nonsig
2-E: regression: nosig","a) 1
B) 1
c) 1
D) 0
E) 1","regression
regression
regression
regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) process
c) process
D) product
E) product","1) Gaze
2) Gaze
3) Gaze"
37,37,2013,"Emergent leaders through looking and speaking: from audio-visual data to multimodal recognition","III) Audio
II) Video","III) Microphone
II) Camera","III) Dev-Audio
II) Logitech Webcam Pro 9000","1) Speaking Activity
2) Visual Attention
3) Audio-Visual","1) Verbal
2) Gaze
3) Gaze","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) II, III","a) personality
B) group interaction
c) dominance
D) task performance
E) leadership","a) survey
B) survey
c) survey
D) human evaluation
E) survey","a) group composition
B) interpersonal relationship
c) interpersonal relationship
D) performance
E) interpersonal relationship","a) condition
B) process
c) process
D) product
E) process","1*3-E: sup. machine learning: (50%)
1*3-C: sup. machine learning: (59.1%)","a) /
B)/
c) 0
D) /
E) 0","machine learning
machine learning","machine-learning
machine-learning","a) condition
B) process
c) process
D) product
E) process","1) Verbal
2) Gaze
3) Gaze"
38,38,2019,Predicting the Quality of Collaborative Problem Solving Through Linguistic Analysis of Discourse,"I) Eye Gaze
III) Audio
IV) Kinesiology
VI) EDA","I) Eye Tracker
III) Microphone
IV) Kinect
VI) Smart Wristband","I) Tobii
III) Microsoft Kinect
IV) Microsoft Kinect
VI) Empatica (E4)","1) Coh-Metrix Indices
2) Physical Synchrony
3) Physiological Synchrony (Pc)
4) Joint Visual Attention","1) Verbal
2) Body
3) Physiological
4) Gaze","1) Speech Features
2) Gross Body Motion
3) EDA
4) Visual Attention","1) Speech Features
2) Gross Body Motion
3) EDA
4) Visual Attention","1) Individual
 2) Group
 3) Group
 4) Group","1) pure_indiv
2) synchro
3) synchro
4) synchro","1) III
2) IV
3) VI
4) I","a) learning gain
B) collaboration
c) conversational features","a) survey
B) human evaluation
c) computation ","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship
c) communication","a) product
B) process
c) process","1-A: correlation: sig
1-B: correlation: sig
1-C: correlation: sig
2-C: correlation: sig
3-C: correlation: sig
4-C: correlation: sig
2-B: sup. machine learning: 84%","a) 1
B) 1
c) 1","correlation
correlation
correlation
correlation
correlation
correlation
machine learning","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
machine-learning","a) product
B) process
c) process","1) Verbal
2) Body
3) Physiological
4) Gaze"
39,39,2014,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,"VI) EDA
VII) ECG","VI) Wearable Sensor
VII) Wearable Sensor","VI) Mp150 Data Acquisition System
VII) Mp150 Data Acquisition System","1) signal matching (SM) - EDA
2) instantaneous derivative matching (IDM) - EDA
3) directional agreement (DA) - EDA
4) cross correlation (CC) - EDA
5) weighted coherence (WC) - EDA
6) signal matching (SM) - Hr
7) instantaneous derivative matching (IDM) - Hr
8) directional agreement (DA) - Hr
9) cross correlation (CC) - Hr
10) weighted coherence (WC) - Hr Low Frequency
11) weighted coherence (WC) - Hr High Frequency","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological
6) Physiological
7) Physiological
8) Physiological
9) Physiological
10) Physiological
11) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA
6) Heart
7) Heart
8) Heart
9) Heart
10) Heart
11) Heart","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA
6) Heart
7) Heart
8) Heart
9) Heart
10) Heart
11) Heart","1) Group
 2) Group
 3) Group
 4) Group
 5) Group
 6) Group
 7) Group
 8) Group
 9) Group
 10) Group
 11) Group","1) synchro
2) synchro
3) synchro
4) synchro
5) synchro
6) synchro
7) synchro
8) synchro
9) synchro
10) synchro
11) synchro","1) VI
2) VI
3) VI
4) VI
5) VI
6) VII
7) VII
8) VII
9) VII
10) VII
11) VII","a) task performance
B) workload","a) task performance
B) survey ","a) performance
B) engagement","a) product
B) process","1-A: LME: nonsig
2-A: LME: nonsig
3-A: LME: sig
4-A: LME: nonsig
5-A: LME: nonsig
6-A: LME: nonsig
7-A: LME: nonsig
8-A: LME: nonsig
9-A: LME: nonsig
10-A: LME: nonsig
11-A: LME: nonsig
1-B: LME: nonsig
2-B: LME: nonsig
3-B: LME: nonsig
4-B: LME: nonsig
5-B: LME: nonsig
6-B: LME: nonsig
7-B: LME: nonsig
8-A: LME: nonsig
9-A: LME: nonsig
10-A: LME: nonsig
11-A: LME: nonsig","a) 0
B) 0","LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME
LME","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) product
B) process","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological
6) Physiological
7) Physiological
8) Physiological
9) Physiological
10) Physiological
11) Physiological"
40,40,2017,Using Multimodal Learning Analytics to Identify Aspects of Collaboration in Project-Based Learning,II) Video,II) Camera,II) NS,"1) Count Of Faces Looking At Screen
2) Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Hand Motion Speed","1) Gaze
2) Body
3) Body
4) Body","1) Visual Attention
2) Location
3) Hand Motion
4) Hand Motion","1) Visual Attention
2) Location
3) Hand Motion
4) Hand Motion","1) Group
 2) Group
 3) Individual
 4) Individual","1) synchro
2) synchro
3) pure_indiv
4) pure_indiv","1) II
2) II
3) II
4) II","a) engagement
B) synchronisation
c) individual accountability","a) human evaluation
B) human evaluation
c) human evaluation","a) engagement
B) interpersonal relationship
c) coordination","a) process
B) process
c) process","3-C: regression: sig
3-B: regression: sig
1+3-B: regression: sig
3-A: regression: sig","a) 1
B) 1
c) 1","regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) process
c) process","1) Gaze
2) Body
3) Body
4) Body"
41,41,2016,Modeling Collaboration Patterns on an Interactive Tabletop in a Classroom Setting,V) Log Data,V) Touch Screen,V) Microsoft Pixelsense Sdk,1) Touch Patterns,1) Log Data,1) Touch,1) Touch,1) Individual,1) pure_indiv,1) V,a) social regulation,a) human evaluation,a) coordination,a) process,1-A: computation: (84.2%),a) 1,computation,descriptive,a) process,1) Log Data
42,42,2018,Toward Using Multi-Modal Learning Analytics to Support and Measure Collaboration in Co-Located Dyads,"III) Audio
I) Eye Gaze
VI) EDA
IV) Kinesiology","III) Kinect
I) Eye Tracker
VI) Wearable Sensor
IV) Kinect","III) Kinect
I) Tobii Eye Trackers
VI) Empatica (E4)
IV) Microsoft Kinect","1) Total Movement Across Upper Body Joints And Body Parts
2) Talking Time","1) Body
2) Verbal","1) Gross Body Motion
2) Speech Participation","1) Gross Body Motion
2) Speech Participation","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) IV
2) III",a) collaboration quality,a) human evaluation ,"
a) coordination
a) communication
a) engagement
a) interpersonal relationship",a) process,"1-A: correlation: sig
2-A: correlation: sig",a) 1,"correlation
correlation","correlation_regression
correlation_regression",a) process,"1) Body
2) Verbal"
43,43,2019,An Alternate Statistical Lens to Look at Collaboration Data: Extreme Value Theory,I) Eye Gaze,I) Eye Tracker,I) NS,1) Evt Of Spatial Entropy,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) pure_indiv,1) I,"a) collaboration outcome
B) learning gain","a) task outcome
B) learning test ","a) performance
B) learning","a) product
B) product","1-A: regression: sig
1-B: regression: sig","a) 1
B) 1","regression
regression","correlation_regression
correlation_regression","a) product
B) product",1) Gaze
44,44,2019,Going beyond what is visible: What multichannel data can reveal about interaction in the context of collaborative learning?,"II) Video
III) Audio
VI) EDA","II) Camera
III) Microphone
VI) Wearable Sensor","II) 360 Video Camera Moore System
III) 360 Video Camera Moore System
VI) Empatica (E3)","1) Facial Expression
2) Physiological Simultaneous Arousal","1) Head
2) Physiological","1) Facial Expressions
2) EDA","1) Facial Expressions
2) EDA","1) Individual
 2) Group","1) pure_indiv
2) synchro","1) II
2) VI","a) type of working activity
B) group interaction","a) human evaluation
B) human evaluation","a) coordination
B) coordination","a) process
B) process","1-A: computation: nonsig
1-B: ANOVA: sig
2-A: computation: nonsig
2-B: computation: nonsig","a) 0
B)0","computation
ANOVA
computation
computation","descriptive
between-group
 descriptive
 descriptive","a) process
B) process","1) Head
2) Physiological"
45,45,2019,Task-independent Multimodal Prediction of Group Performance Based on product Dimensions,"III) Audio
IV) Kinesiology
V) Log Data","III) Microphone
IV) Wearable Sensor
V) Digital Pen","III) NS
IV) NS
V) NS","1) Speaking Turn Features
2) Acoustic Features
3) Head Motion Features
4) Linguistic Features","1) Verbal
2) Verbal
3) Head
4) Verbal","1) Speech Participation
2) Speech Features
3) Head Motion
4) Speech Content","1) Speech Participation
2) Speech Features
3) Head Motion
4) Speech Content","1) Group
 2) Individual
 3) Individual
 4) Individual","1) indiv_freq_in_group
2) pure_indiv
3) pure_indiv
4) pure_indiv","1) III
2) III
3) IV
4) V",a) task performance,a) human evaluation,a) performance,a) product,1*2*3*4-A: unsup. machine learning: sig,a) 1,machine learning,machine-learning,a) product,"1) Verbal
2) Verbal
3) Head
4) Verbal"
46,46,2014,Toward Collaboration Sensing,I) Eye Gaze,I) Eye Tracker,I) Tobii,1) Network Features,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) pure_indiv,1) I,a) collaboration quality,a) human evaluation,"
a) coordination
a) communication
a) engagement
a) interpersonal relationship",a) process,"1-A: sup. machine learning: (85-100%)
1-A: correlation: sig",a) 1,"machine learning
correlation","machine-learning
correlation_regression",a) process,1) Gaze
47,47,2017,Supervised machine learning in multimodal learning analytics for estimating success in project-based learning,"IV) Kinesiology
IV) Kinesiology
III) Audio
V) Log Data","IV) Kinect
IV) Kinect
III) Microphone
V) Arduino Ide ","IV) Logitech C920
IV) Microsoft Kinect
III) NS
V) Arduino","1) Number Of Faces Looking At Screen
2) Mean Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Mean Hand Movement Speed
5) Mean Audio Level
6) Arduino Measure Of Complexity
7) Arduino Active Hardware Blocks
8) Arduino Active Software Blocks
9) Arduino Active Blocks
10) Student Work Phases","1) Head
2) Body
3) Body
4) Body
5) Verbal
6) Log Data
7) Log Data
8) Log Data
9) Log Data
10) Log Data","1) Head Motion
2) Location
3) Hand Motion
4) Hand Motion
5) Speech Features
6) Task-Related
7) Task-Related
8) Task-Related
9) Task-Related
10) Task-Related","1) Head Motion
2) Location
3) Hand Motion
4) Hand Motion
5) Speech Features
6) Task-Related
7) Task-Related
8) Task-Related
9) Task-Related
10) Task-Related","1) Group
 2) Group
 3) Individual
 4) Individual
 5) Individual
 6) Individual
 7) Individual
 8) Individual
 9) Individual
 10) Individual","1) indiv_freq_in_group
2) synchro
3) pure_indiv
4) pure_indiv
5) pure_indiv
6) object_indiv
7) object_indiv
8) object_indiv
9) object_indiv
10) pure_indiv","1) IV
2) VI
3) VI
4) VI
5) III
6) V
7) V
8) V
9) V
10) IV",a) task performance,a) human evaluation,a) performance,a) product,1*2*3*4*5*6*7*8*9*10-A: sup. machine learning: (24%),a) 0,machine learning,machine-learning,a) product,"1) Head
2) Body
3) Body
4) Body
5) Verbal
6) Log Data
7) Log Data
8) Log Data
9) Log Data
10) Log Data"
48,48,2012,Multimodal prediction of expertise and leadership in learning groups,"III) Audio
V) Log Data ","III) Microphone
V) Digital Pen","III) NS
V) Anoto","1) Pause Duration
2) Energy
3) Articulation Rate
4) Fundamental Frequency
5) Peak Slope
6) Spectral Stationarity
7) Writing Rate
8) Writing Area
9) Aspect Ration
10) Pressure
11) Uninterrupted Writing
12) Pause Distribution/Average Pauses","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Log Data
8) Log Data
9) Log Data
10) Log Data
11) Log Data
12) Log Data","1) Speech Participation
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Text
8) Text
9) Text
10) Text
11) Text
12) Text","1) Speech Participation
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Text
8) Text
9) Text
10) Text
11) Text
12) Text","1) Individual
 2) Individual
 3) Individual
 4) Individual
 5) Individual
 6) Individual
 7) Individual
 8) Individual
 9) Individual
 10) Individual
 11) Individual
 12) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv
5) pure_indiv
6) pure_indiv
7) pure_indiv
8) pure_indiv
9) pure_indiv
10) pure_indiv
11) pure_indiv
12) pure_indiv","1) III
2) III
3) III
4) III
5) III
6) III
7) V
8) V
9) V
10) V
11) V
12) V","a) leadership
B) expertise","a) assigned
B)task outcome","a) group composition
B) group composition","a) condition
B) condition","1-A: t-test: sig
3-A: t-test: sig
5-A: t-test: sig
6-A: t-test: sig
5-B: t-test: sig
3-B: t-test: nonsig
1-B: t-test: nonsig
6-B: t-test: nonsig","a) 1
B) 0","t-test
t-test
t-test
t-test
t-test
t-test
t-test
t-test","between-group
between-group
between-group
between-group
between-group
between-group
between-group
between-group","a) condition
B) condition","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Log Data
8) Log Data
9) Log Data
10) Log Data
11) Log Data
12) Log Data"
49,49,2017,Estimation of success in collaborative learning based on multimodal learning analytics features,"IV) Kinesiology
V) Log Data
III) Audio","IV) Kinect
V) Arduino Ide
III) Microphone","IV) NS
V) Arduino
III) Microphone","1) Faces Looking At Screen
2) Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Number Of Active Blocks
5) Variety Of Hardware Blocks
6) Variety Of Software Blocks
7) Number Of Interconnections Between Blocks
8) Audio Level","1) Head
2) Body
3) Body
4) Log Data
5) Log Data
6) Log Data
7) Log Data
8) Verbal","1) Head Motion
2) Location
3) Hand Motion
4) Task-Related
5) Task-Related
6) Task-Related
7) Task-Related
8) Speech Features","1) Head Motion
2) Location
3) Hand Motion
4) Task-Related
5) Task-Related
6) Task-Related
7) Task-Related
8) Speech Features","1) Group
 2) Group
 3) Individual
 4) Individual
 5) Individual
 6) Individual
 7) Individual
 8) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) object_indiv
5) object_indiv
6) object_indiv
7) object_indiv
8) pure_indiv","1) IV
2) IV
3) IV
4) V
5) V
6) V
7) V
8) III",a) task performance,a) human evaluation ,a) performance,a) product,"1+2-A: sup. machine learning: sig
8-A: sup. machine learning: sig",a) 1,"machine learning
machine learning","machine-learning
machine-learning",a) product,"1) Head
2) Body
3) Body
4) Log Data
5) Log Data
6) Log Data
7) Log Data
8) Verbal"
50,50,2017,Unpacking Collaborative Learning processes during Hands-on Activities using Mobile Eye-Trackers,I) Eye Gaze,I) Eye Tracker,I) Tobii Pro Glasses 2,1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) synchro,1) I,"a) collaboration quality
B) collaboration
c) learning gain
D) task performance","a) human evaluation
B) human evaluation
c) survey
D) task outcome","a) coordination
B) coordination
B) communication
B) engagement
B) interpersonal relationship
c) learning
D) performance","a) process
B) process
c) product
D) product","1-A: correlation: sig
1-A: correlation: sig","a) 1
B) /
c) /
D)/","correlation
correlation","correlation_regression
correlation_regression","a) process
B) process
c) product
D) product",1) Gaze
51,51,2015,3D Tangibles Facilitate Joint Visual Attention in Dyads,I) Eye Gaze,I) Eye Tracker,I) SMI (Eye- Tracking Glasses With Binocular Pupil Tracking At 30Hz),1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) synchro,1) I,"a) collaboration quality
B) student performance
c) learning gain ","a) human evaluation
B) task outcome
c) survey","
a) coordination
a) communication
a) engagement
a) interpersonal relationship
B) performance
c) learning","a) process
B) product
c) product","1-A: correlation: sig
1-B: regression: sig
1-C: correlation: sig","a)1
B)1
c) 1","correlation
regression
correlation","correlation_regression
correlation_regression
correlation_regression","a) process
B) product
c) product",1) Gaze
52,52,2018,Exploring Collaboration Using Motion Sensors and Multi-Modal Learning Analytics,IV) Kinesiology,IV) Kinect,IV) Microsoft Kinect,"1) Joint Movement
2) Joint Angle
3) Dyad Proximity","1) Body
2) Body
3) Body","1) Gross Body Motion
2) Gross Body Motion
3) Location","1) Gross Body Motion
2) Gross Body Motion
3) Location","1) Group
 2) Group
 3) Group","1) synchro
2) synchro
3) synchro","1) IV
2) IV
3) IV","a) task performance
B) collaboration
c) learning gain","a) human evaluation
B) human evaluation
c) survey","a) performance
B) coordination
B) communication
c) learning","a) product
B) process
c) product","1-A: correlation: sig
1-B: correlation: nonsig
2-A: correlation: sig / mixed
3-B: correlation: nonsig
3-A: correlation: sig","a) 1
B) 0
c) /","correlation
correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) product
B) process
c) product","1) Body
2) Body
3) Body"
53,53,2013,Real-time mutual gaze perception enhances collaborative learning and collaboration quality,"I) Eye Gaze
II) Video","I) Eye Tracker
II) Eye Tracker","I) Tobii X1
II) Tobii X1","1) Joint Visual Attention
2) Cognitive Load (From Pupil Size)","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Physiology","1) Visual Attention
2) Eye Physiology","1) Group
 2) Individual","1) synchro
2) pure_indiv","1) I
2) II",a) learning gain,a) survey,a) learning,a) product,"1-A: mediation: sig
2-A: mediation: nonsig",a) 1/0,"mediation
mediation","correlation_regression
correlation_regression",a) product,"1) Gaze
2) Gaze"
54,54,2016,Investigating collaborative learning success with physiological coupling indices based on electrodermal activity,VI) EDA,VI) Wearable Sensor,VI) Empatica (E3),"1) Signal Matching
2) Instantaneous Derivative Matching
3) Directional Agreement
4) Pearson’S Correlation Coefficient
5) Fisher’S Z-Transform Of Pearson'S Correlation Coefficient","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) Group
 2) Group
 3) Group
 4) Group
 5) Group","1) synchro
2) synchro
3) synchro
4) synchro
5) indiv_freq_in_group","1) VI
2) VI
3) VI
4) VI
5) VI","a) collaborative will
B) collaborative learning product
c) group learning gain","a) survey
B) human evaluation
c) human evaluation","a) interpersonal relationship
B) learning
c) learning","a) process
B) product
c) product","1,3,4,5-A : regression: nonsig
2-A: regression: sig
1,3,4,5-B : regression: nonsig
2-B: regression: sig
1,2,4,5-C: regression: nonsig
3-C: regression: sig","a) 1/0
B) 1/0
c) 1/0","regression
regression
regression
regression
regression
regression","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) product
c) product","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological"
55,55,2017,Multimodal Analysis of Vocal Collaborative Search:A Public Corpus and Results,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Linguistic Features
2) Voice Features
3) Facial Expression","1) Verbal
2) Verbal
3) Head","1) Speech Content
2) Speech Features
3) Facial Expressions","1) Speech Content
2) Speech Features
3) Facial Expressions","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) III
2) III
3) II","a) social perception
B) social perception
c) social perception","a) survey
B) survey
c) survey","a) interpersonal relationship
B) interpersonal relationship
c) interpersonal relationship","a) process
B) process
c) process","1+2+3-A: correlation: sig
1+2+3-B: correlation: sig
1+2+3-C: correlation: sig
1,2-A: correlation: nonsig
1,2-B: correlation: nonsig
1,2-C: correlation: nonsig
3-A: correlation: sig
3-B: correlation: sig
3-C: correlation: sig","a) 1
B) 1
c) 1","correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) process
B) process
c) process","1) Verbal
2) Verbal
3) Head"
56,56,2020,Focused or Stuck Together: Multimodal Patterns Reveal Triads’ Performance in Collaborative Problem Solving,"II) Video
V) Log Data","II) Camera
V) Own Application","II) NS
V) NS","1) Type Of Activity Done In Task
2) Amount Of Face And Body Movement
3) Target For Discussion Partner","1) Log Data
2) Body
3) Log Data","1) Task-Related
2) Gross Body Motion
3) Task-Related","1) Task-Related
2) Gross Body Motion
3) Task-Related","1) Individual
 2) Individual
 3) Individual","1) content_indiv
2) pure_indiv
3) pure_indiv","1) V
2) II
3) II","a) task performance
B) perception of collaboration","a) human evaluation
B) survey","a) performance
B) interpersonal relationship","a) product
B) process","1*2*3-A: correlation: sig
1*2*3-B: correlation: sig","a) 1
B) 1","correlation
correlation","correlation_regression
correlation_regression","a) product
B) process","1) Log Data
2) Body
3) Log Data"
57,57,2018,"Using Physiological Synchrony as an Indicator of Collaboration Quality, Task Performance and Learning","II) Video
III) Audio
VI) EDA","II) Kinect
III) Kinect
VI) Wearable Sensor","II) NS
III) NS
VI) Empatica (E4)","1) Signal Matching
2) Instantaneous Derivative Matching
3) Directional Agreement
4) Pearson’S Correlation Coefficient
5) Speech Activity","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Verbal","1) Combined
2) Combined
3) Combined
4) Combined
5) Speech Participation","1) Combined
2) Combined
3) Combined
4) Combined
5) Speech Participation","1) Group
 2) Group
 3) Group
 4) Group
 5) Group","1) synchro
2) synchro
3) synchro
4) synchro
5) indiv_freq_in_group","1) VI
2) VI
3) VI
4) VI
5) III","a) learning gain
B) collaboration quality
c) collaboration quality
D) colaboration quality
E) collaboration quality","a) survey
B) human evaluation
c) human evaluation
D) human evaluation
E) human evaluation","a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship
c) coordination
D) coordination
E) coordination","a) product
B) process
c) process
D) process
E) process","1,2,3-A: correlation : nonsig
4-A: correlation: sig
5-A: ANOVA : sig
1,2,4-B: correlation : nonsig
3-B: correlation: sig
1,2,4-C: correlation : nonsig
3-C: correlation: sig
1,2,4-D: correlation: nonsig
3-D: correlation: sig
1,2,3-E: correlation : nonsig
4-E: correlation: sig","a) 1/0
B) 1/0
c) 1/0
D) 1/0
E) 1/0","correlation
correlation
ANOVA
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
between-group
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression","a) product
B) process
c) process
D) process
E) process","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Verbal"
