ID updated,Paper_id_ new,,paper_id,coder,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,sample_size,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice
29,29,,44,edwin,How remote collaboration by a worker and a remote collaborator will change if the collaborator’s eye fixations on a physical workspace are presented to the worker.,Design;Scientific hypothesis testing,"In particular, we are interested in how systems can facilitate remote collaboration when remote collaborators wish to manifest their intentions or instructions, such as what objects they are currently focusing on and how they want a worker to manipulate these objects.","Complete an assembly task by using the following steps. First, one of the participants in each pair assigned the role of a remote collaborator saw the as-built drawings of a target object. Then, the collaborator instructed the other participant (i.e., a worker) on how to assemble the target object by using blocks. Each participant took turns playing the collaborator and the worker for each condition, and the order of conditions was randomized to maintain the counterbalance (i.e., each pair conducted four sessions in total).","1) Gesture condition where a collaborator was allowed to use hand gestures and speech
2) Gesture + Eye condition where eye fixations are also available for the collaborator","1) Eye fixations can serve as a fast and precise pointer to objects of the collaborator’s interest. 2) Eyes and other modalities, such as hand gestures and speech, are used differently for object identification and manipulation. 3) Eyes are used for explicit instructions only when they are combined with speech. 4) The worker can predict some intentions of the collaborator such as his/her current interest and next instruction.",G=4; I=8,NS,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,University; age 20-30,"This application involves several important topics in CSCW, such as efficient monitoring and provision of instructions to multiple workers, long-term assistance with remote collaboration, and heterogeneous monitoring of workspaces by using smartphones as well as fixed POV and wearable cameras.",NS
30,30,,46,bert,"— H1: students will better memorize a warehouse’s layout if it is presented as a 3D tangible model.
— H2: when asked to build a warehouse, students will better be able to optimize its layout when using tangible shelves compared to paper ones.
— H3: students will learn more from the task when using tangible shelves.",Metric-construct connection; Observe learning,"The hypothesis behind our study is that tangible interfaces have unique perceptual affordances. We argue that providing a realistic representation of a problem can help students better understand and analyze a complex system. When using 2D paper shelves, we remove the “realistic” aspect of the system while keeping all other parameters mostly unchanged. This allowed us to study the impact of interacting with a small-scale warehouse versus interacting with an augmented diagram",Designing and optimize warehouse layouts,"Participants interacted with
1) 2D paper shelves
2) 3D physical shelves","We found that participants in the first group (i.e. who used 3D realistic shelves) better memorized a warehouse layout, built a more efficient model, and scored higher on a learning test. Additionally, students wore eye-tracking goggles while completing those tasks; preliminary results suggest that 3D interfaces increased joint visual attention, which was found to be a significant predictor for participants’ task performance and learning gains.","G=27, I=54",NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X; We need a [better] way of measuring / detecting / predicting something,Apprentices in a vocational training program; age mean 19.07,"our results also open the door to the development of new systems in the realm of vocational training education. There is a wide breath of spatial domains where TUIs could help students more easily grasp complex concepts, especially at the introductory level.",NS
31,31,,47,edwin,Recognizing and understanding social dimensions (the personality traits and social impressions) during small group interactions.,Model-building,Our research interest focuses on the prediction of personality traits and social impressions of participants during small group interactions.,Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,Our experiments show that the combination of intra-personal and one vs all features can greatly improve the prediction accuracy of personality traits and social impressions. Prediction accuracy reaches 81.37% for the social impression named 'Rank of Dominance'.,"G=27, I=102",NS,lab,Model/metric; Algorithm,We need [better] way of measuring / detecting / predicting something,NS,"There are three main contributions in this paper. Firstly, we propose a new approach to analyse the relationships between social behaviour features and personality traits/social impressions by using a new feature categorisation, which claries the study of the influence of intra-personal and interpersonal features during social interaction. Secondly, by analysing and interpreting the prediction results, we draw interesting conclusions about the relationships between personality traits/social impressions and related social features Finally, we show that our novel categorisation of features improves the prediction accuracy of personality traits and social impressions.",NS
32,32,,48,bert,visual dominance ratio (VDR) can estimate dominance in multi-party group discussions where natural verbal exchanges occur ,Model-building,"we investigate a model for visually dominant be- haviour, grounded in findings from social psychology, using fully automatic audio and visual cues to assess whether the most dominant person can be reliably detected when there are varying degrees of agreement in human perceptions of dominance.",We used meeting data from the publicly available AMI meeting corpus [4] ,NS,Our findings suggest that fully au- tomated versions of these measures can estimate effectively the most dominant person in a meeting and can approxi- mate the dominance estimation performance when manual labels of visual attention are used.,G=91; I=?,NS,lab,Model/metric,"Understanding these constructs (e.g., dominance) in automatic systems is desirable for tasks such as for improving task-oriented group effectiveness or remote meeting scenarios ",NS,NS,NS
33,33,,49,steph,Can superficial measures of speech and user interactions of students measure collaboration? ,Model-building,We tested whether superficial measures of speech and user interactions of students would suffice for measuring collaboration.,mathematical task: Positioning a set of cards so that all cards in a row describe the same process,NS,"Using just the speech and tablet log data, several detectors were machine learned and achieved an overall accuracy of 96% (Kappa=0.92), which is higher than earlier attempts to use speech and log data for detecting collaboration",G=14; I=28,NS,lab,Model/metric,We need a [better] way of measuring /detecting / predicting something,University students,NS,NS
34,34,,50,edwin,Can interlocutor-modulated attention BLSTM (IM-aBLSTM) be used to predict personality traits in the ELEA corpus?,Model-building,"In this work, we present a network architecture of interlocutor-modulated attention BLSTM (IM-aBLSTM) that captures both the target speaker’s self vocal behaviors and his/her interactive behaviors with other group members jointly to improve the prediction of the target speaker’s personality traits.",Winter survival task: rank twelve items important for surviving a airplane crash in harsh winter conditions.,NS,"Our framework achieves a promising unweighted recall accuracy of 87.9% in ten different binary personality trait prediction tasks, which outperforms the best results previously reported on the same database by 10.4% absolute. Finally, by analyzing the interpersonal vocal behaviors in the region of high attention weights, we observe several distinct intra- and inter-personal vocal behavior patterns that vary as a function of personality traits.",G=28; I=112,NS,lab,Algorithm,We need a [better] way of measuring /detecting / predicting something,NS,This work presents a preliminary personality prediction result by modeling vocal behaviors between interlocutors via embedding interaction-based attention mechanism in a BLSTM.,"Our future work will focus on leveraging multiple behavior modalities to advance our algorithm in modeling the relationship between target speaker and interlocutors to improve regression correlations across these ten personality traits. Additionally, we would also investigate algorithmic frameworks that jointly models individual behaviors at the group level to predict the final group performance outcome as they engage in a variety of small group interaction contexts."
35,35,,52,steph,"How does group-level gaze-UI regularity, defined as the dynamics of teams’ collective attention aligned with changes in the UI, predict collaborative problem-solving processes and outcomes after accounting for individual-level gaze coupling with the UI and other covariates (e.g. verbosity)?","Design, model-building",We investigate teams’ multidimensional patterns of visual attention during a collaborative problemsolving task with an eye for leveraging insights to improve collaborative interfaces.,Minecraft hour of code,1) controlling screen 2) watching screen,"We quantified not only how a team member individually coupled his or her attention with UI changes, but also repeated patterns in the triad’s attention in context with UI changes.",G=37 I=111,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,University students,Our work is novel by providing a computational assessment of complex computer-mediated collaboration from the lens of triadic visual attention,The next step is to leverage these findings to develop intelligent collaborative user interfaces that monitor the unfolding collaboration and launching interventions to improve the collaborative process and outcomes.
36,36,,53,bert,The goals of this paper are 1) to explore a variety of computational techniques for analyzing the transcripts of student discussions; 2) to examine whether any of those measures sheds new light on our previous results; and 3) to test whether those metrics have any predictive power regarding learning outcomes. ,Observe learning,explore a variety of computational techniques for analyzing the transcripts of student discussions,Contrasting cases in neuroscience,"1) visible gaze
2) no gaze","we found that linguistic coordination (i.e., the extent to which students mimic each other in terms of their grammatical structure) did not predict the quality of student collaboration or learning gains. However, we found that a simple computational measure of student verbal coherence (i.e., the extent to which students build on each other’s ideas) was positively correlated with their learning gains. Additionally, this measure was significantly different across our experimental conditions: students who could see the gaze of their partner in real time were more likely to develop a coherent discussion. Finally, using various language metrics, we were able to roughly predict (i.e., using a median-split) learning gains with a 94.4% accuracy using Support Vector Machine. The accuracy dropped to 75% when we used our model on a validation set.",G=21; I=42,real-time,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,College students; average age 23,"By combining NLP measures with various kinds of sensors (eye-trackers, motion sensors, Galvanic Skin Response sensors) we can start to unpack a complex taxonomy of productive collaborative learning markers. The overarching goal is to then use those markers to construct “learning states” and map student trajectories using those states. One could then differentiate productive from unproductive trajectories and intervene to redirect students from the latter state to the former one.","we believe that the field of learning analytics (and more specifically our work) can contribute to education in several ways. First, finding positive predictors of learning can help us unpack student learning trajectories by detecting unproductive patterns; this information, in turn, can provide interesting feedback loops for both students and teachers to avoid dead-ends in their learning paths. Second, high-frequency sensors (such as eye-trackers) can provide an additional layer of complexity to nuance simple measures of learning: in this paper, we showed that combining JVA with coherence had the potential for uncovering productive and off-task behaviours. Finally, computational measures offer the prospect of speeding up the pace of educational research by automatically extracting constructs of interest: instead of painstakingly annotating hours of videos and reams of transcripts, we can start to graph the evolution of particular behaviours and use those graphs to isolate interesting learning moments. "
37,37,,54,steph,"Can an analysis of speaking activity features, visual attention features, and multimodal features that rely on the audiovisual synchrony be used to estimate an emergent leader?",Model-building,"In this work, we report the performance in the emergent leader inference using social attention automatically extracted from audio-visual features (e.g. looking at participants while speaking) and using a subset of the ELEA corpus. Additionally, we describe the annotations collected from external observers and we present the perception of the emergent leader from the external observers’ point of view",Survival task,NS,"Although the multimodal features are not the best descriptor of leadership, nor of dominance, they provide some information about the perceived leadership during the interaction, such that being the center of attention while speaking correlates with being perceived as the leader","G=19, I=85",NS,lab,"Dataset, Model/metric",We need a [better] way of measuring / detecting / predicting something,University; age mean 23.1; male 54 female 31,"As future work, the effect of other interesting automatically extracted features, including floor patterns and emotional states on estimating the leader in the group can be investigated.",NS
38,38,,56,bert,"RQ1: Are Coh-Metrix indices derived from transcripts of discourse between co-located partners related to the quality of their ollaboration and learning gains?
RQ2: Are Coh-Metrix indices different across experimental conditions?
RQ3: Are Coh-Metrix indices associated with MMLA measures (e.g., Joint visual attention, physiological synchrony, nonverbal behaviors) that were previously significantly correlated with collaboration quality?
RQ4: What Coh-Metrix indices are most meaningful for estimating a group’s collaboration?
RQ5: Can Coh-Metrix indices be used to train supervised machine learning algorithms to predict collaboration quality?",Observe learning,"Analyzing this discourse can give insights into how consensus is reached and can estimate the depth of their understanding of the problem. This study uses Coh-Metrix, a natural language processing tool that measures cohesion, to analyze participant discourse",novice programmers collaborated to use a block-based programming language to instruct a robot on how to solve a series of mazes,Speech awareness tool vs no awareness tool,"We significantly correlated thirty-five Coh-Metrix indices from the transcripts of dyads' discourse with collaboration, learning gains, and multimodal sensor values. We then fit a variety of machine learning classifiers to predict collaboration using the indices generated by Coh-Metrix as features. ",G=40; I=80,real-time,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,College students,"This research paves the way for real-time detection of (un)productive interactions from multimodal data, potentially facilitating the development of fail-soft real-time interventions to support collaborative learning. ",NS
39,39,,57,callie,"Does task/technology conditions (specifically, task demand and technology reliability) affects the level of group PC?
Is PC of a group is positively related to the performance of the group after controlling for effects of task/technology conditions?
Is the PC of a group related to how the passive user estimates the active user’s workload?
Is the PC of a group related to the shared perception about the trustworthiness of the technology among the group members.",Scientific hypothesis testing; Metric-construct connection,"This study aimed to understand the process of joint activity, using PC measures, in technologically complex environments that include active and passive users. This study also investigated how PC relates to task performance and the subjective experience of the group.",psycho-motor tasks in a modified version of the Multiattribute Task Battery (MATB) program,"1) normal condition
2) hard condition
3) low reliability condition",Results indicate that PC is related to group performance after controlling for task/technology conditions. PC is also correlated with shared perceptions of trust in technology among group members.,G=24; I=48,NS,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,College,This study has implications for understanding effective collaboration.,"Technology could play a supportive role in this regard by supporting passive users’ sensitivity to active users’ workload, such as when a teammate is deciding whether or not to interrupt another teammate"
40,40,,58,edwin,Which features of MMLA are good predictors of collaborative problem-solving in open-ended tasks in project-based learning?,Design,"One of the aims of the project is to develop learning analytics tools for hands- on, open-ended STEM and STEAM learning activities using physical computing.",Prototype an interactive toy,NS,"In this research study, we presented that where the students are looking, the distance between them, the motion of their hands our key features for a learning analytics system to be effectively used to identify collaboration in small groups of Engineering students.",G=12; I=36,NS,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,College; age mean 20; male 17 female 1,These results are significant for the CSCL community as a starting point to investigate further what features of MMLA can be used to support collaborative learning providing insights about the physical and embodied processes involved in hands-on learning and how.,NS
41,41,,60,edwin,Can the quality of groups’ collaborative learning processes be detected using touch data alone?,Metric-construct connection,"In this paper, we present a follow-up study conducted in a classroom field setting with high school students to find out if these touch interaction patterns continue to reflect collaborative learning processes beyond the original lab setting.",To design and build a website around a topic of their choosing,"1) Microsoft PixelSense SDK
2) Web browser-based",We found that two of the touch patterns in combination—Unrelated Touches and a modified version of Overlapping Sequences—were clearly associated with quality of collaboration in up to 84.2% of cases.,G=13; I=16,NS,ecological,Model/metric,We need a [better] way of measuring / detecting / predicting something,High School; female 10 male 6,NS,"As well as helping groups of students to improve their collaboration processes, the approach to detecting collaboration quality described in this paper could be used to help teachers to monitor small group work in their classroom."
42,42,,61,steph,"Do visualizations of participant participation influence critical constructs captured by traditional and multi-modal measurement techniques such as collaboration quality, task understanding and learning gains?",Scientific Hypothesis Testing,We explored 2 interventions to support their collaboration: a real-time visualization of their verbal contribution and a short verbal explanation of the benefits of collaboration for learning. ,Use block-based programming to navigate a simple robot through a series of mazes,"1) speech equity visualization (SEV) + informational collaboration intervention (ICI)
2) SEV
3) ICI
4) none","Analysis of researcher’s coding of participants’ collaboration quality found that while collaboration quality improved for both groups that received the informational intervention, there was no significant improvement of collaboration quality for the groups that received the visualization intervention and no significant advantage conferred to the group that experienced both interventions.",G=42; I=84,real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,College and members of community; age mean 26.7; female 60%,"We collected a rich multi-modal dataset that can be used to build proxies for measuring effective collaborations. As a preliminary analysis, we found that various indicators captured by the Kinect sensor were correlated with participants’ quality of collaboration (e.g., amount of talking and movements)",NS
43,43,,62,steph,"How can the extreme values (i.e., the moments with extremely high or extremely low values) of eye-tracking data during collaobration inform us of the students’ learning gains?",Model-building,To propose two types of shifts from the traditional analyses of how visual focus of peers is related to collaborative outcomes. ,"1) collaborative concept-map building activity
2) problem-solving activity around fractions using a networked collaborative ITS",NS,In both datasets we found that students with lower outcomes had lower focus during the collaborative session,"1) G=24; I=48
2) G=14; I=28",NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,"1) NS
2) 4th and 5th grade",This paper contributes to the CSCL literature by providing an alternate method for analysing relationships between process and outcome data that complements existing methodology while also extending our understanding of the relationship between visual focus and collaborative outcomes.,NS
44,44,,63,iulian,"1) How do phase of working and type of interaction relate to simultaneous occurrence of arousal among group members? 2) What types of facial expression (positive, negative, or neutral) are observed when arousal occurs simultaneously among group members? 3) How does regulation of learning appear during interaction when arousal occurs simultaneously among group members?",Model-building,"They ""investigate whether physiological sensors in combination with facial expression recognition data can shed light on the quality of social interaction during collaborative learning""","“Design a perfect breakfast for a
marathon runner.”",NS,"The results show that simultaneous arousal episodes occurred throughout phases of collaborative learning and the learners presented the most negative facial expressions during the simultaneous arousal episodes. Most of the collaborative interaction during simultaneous arousal was low-level, and regulated learning was not observable. However, when the interaction was high-level, markers of regulated learning were present; when the interaction was confused, it included monitoring activities. This",G=16; I=48,NS,NS,Model/metric,We need a [better] way of measuring / detecting / predicting something,high school students; 27 females 21 males; (Mean age=17.4 years; SD=0.67),NS,"This study demonstrates that new technologies such as facial recognition software and physiological signals can be used unobtrusively in collaborative learning contexts to capture episodes that may reveal regulated learning or the need to activate it. In the future, this type of multichannel data should be used for validating contextual data, and students’ own interpretations of simultaneous arousal episodes would provide valuable insights for data interpretation"
45,45,,64,iulian,Can we develop prediction models of outputting the performance for multiple group meeting tasks that do not have a clear correct answer ?,Model-building,"This paper proposes an approach to develop models for predicting the performance for multiple group meeting tasks, where the model has no clear correct answer","Different types of planning tasks, part of MATRICS corpus",NS,The results find that a support vector regression model archived a 0.76 correlation in the discussion-task-dependent setting and 0.55 in the task-independent setting,G=30; I=40,NS,lab,Algorithm,We need a [better] way of measuring / detecting / predicting something,NS (see MATRICS corpus),NS,We need a [better] way of measuring / detecting / predicting something
46,46,,66,bert,"Does dual eye-tracking data, modeled with network analyses techniques, predict collaborative learning?",Model-building,applications of network analysis techniques to eye-tracking  data collected during collaborative learning activities to predict collaboration,analyzing contrasting cases,"1) visible gaze
2) no visible gaze","We found that among the eight dimensions of collaboration that we considered, 20 we were able to roughly predict (using a median-split) students’ quality of collaboration with 21 an accuracy between ~85 and 100 %. ",G=16; I=32,real-time,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,"College students; age mean 23; 28 females, 14 males","our graph visualizations help other researchers gain further insights into their own datasets. We believe that network visualizations can advantageously complement existing plots and graphs for initial data exploration, and that various social settings could benefit from the visualization developed in this paper (e.g., parent-infant interactions, diplomatic negotiations, psychotherapeutic dialogues, brainstorming sessions, or sales activities).","In formal learning environments, such measures could be computed in real time; teachers could employ such metrics of ‘collaboration sensing’ to target specific interventions while students are at work on a task. In informal networked learning, collaboration sensor metrics could trigger hints or provide other scaffolds for guiding collaborators to more productive coordination of their attention and action."
47,47,,69,steph,Which features of students' group work that can be automatically collected with our MMLA system are good predictors of students' project outcomes in open-ended learning activities with physical computing?,Observe learning,"In this paper, we investigated how MMLA data can be used to support project-based learning from a specially designed worktable environment, where small groups of students use new physical computing components to solve open-ended tasks.","3 open-ended design task:
1: prototype of an interactive toy
2: prototype a color sorting machine
3: build an autonomous automobile",NS,"The results illustrate that state-of-the-art computational techniques can be used to generate insights into the ""black box"" of learning in students' project-based activities. The features identified from the analysis show that distance between learners' hands and faces is a strong predictor of students' artefact quality, which can indicate the value of student collaboration.",G=6; I=18,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,Engineering University students ,"The work presented here is a significant contribution towards developing techniques to automatically identify the key aspects of students success in project-based learning environments, and to ultimately help teachers provide appropriate and timely support to students in these fundamental aspects. ",the techniques and types of data we presented here can be the first step towards the evidence-informed and effective implementation and evaluation of project-based learning at a scale.
48,48,,70,steph,"Can prosodic, voice quality and writing-based features be used to determine socially dominant and experts in a group? ",Model-building,"In this study, we investigate low level predictors from audio and writing modalities for the separation and identification of socially dominant leaders and experts within a study group.",Geometry and algebra problems,"1) Assigned leader
2) Regular participant",we found a number of significant predictors in the prosodic domain for the separation of the assigned leaders from other students and less predictors for the separation of experts and other students,"G=6, I=18",NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,high school students ,The automatic prediction then can be used to improve the objective evaluation of group learning tasks and optimize individualized student specific learning strategies.,NS
49,49,,71,steph,Which features of student group work are good predictors of team success in open-ended tasks with physical computing?,Model-building,The aim of this paper is to investigate how Multimodal Learning Analytics (MMLA) can be used to support project-based learning from a specially designed worktable environment where small groups of students (three students) use new physical computing components to solve open-ended tasks.,open ended task with physical computing,NS,We found that the planning and building stages of students learning activities are better predictors of their success than the reflection stage. Our results show that the Distance between Hands DBH hands and Distance between Learners DBL are key features to predict students’ performances in practice-based learning activities.,"G=6, I=18",NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,university students; age mean 20; female 1 male 17,NS,NS
50,50,,73,steph,"1. Is JVA associated with higher quality of collaboration; more specifically, is JVA associated with participants’ ability to sustain mutual understanding?
2. Is the number of cycles of individual work (no-JVA) and collaborative interactions (JVA) positively associated with the three outcome measures (collaboration, task performance, learning gains)?",Scientific hypothesis testing; Metric-construct connection,This paper is about going beyond capturing JVA and finding more precise indicators of collaborative learning.,program a robot to autonomously solve a series of increasingly complex mazes,"1) no intervention
2) visualization intervention
3) information intervention
4) visualization + information intervention",JVA is positively correlated with high quality collaborative interactions and cycles of collaborative/individual work,G=42; I=84,real-time,lab,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,age mean 26.7; female 60%,"this study shows that it is possible to develop new ways of capturing 21st century skills in hands-on tasks typical of makerspaces. Even with the limitations mentioned above, this work makes a first step in this direction and opens the way to more rigorously studying collaborative processes in open-ended learning environments using dual mobile eye-trackers.",NS
51,51,,74,steph,What is the effect of tangibles on students' visual coordination? ,Metric-construct connection,The goal of this paper is to close this gap by providing highly granular data on users’ visual coordination around a TUI.,optimize the layout of a warehouse on a TUI,"1) working with 2D paper shelves
2) working with 3D tangible shelves","We found that 3D tangibles seemed to facilitate visual coordination between users, which in turn was associated with higher performances on an optimization task.","G=27, I=54",NS,lab; ecological,Model/metric,We need a [better] understanding of how people behave / We need a deeper understanding of construct X,age mean: 18,we believe that the methodology and results described above are promising building blocks for studying visual coordination (and more generally collaborative learning) in small groups of students.,NS
52,52,,75,steph,Can we measure the quality of collaboration by analyzing participant movement and correlating a variety of measures with task performance and a coding scheme for assessing collaboration quality in dyads?,Model-building,We explore how unsupervised machine learning algorithms can find prototypical states from dyads of students when learning to program a robot.,program a robot to autonomously solve a series of increasingly complex mazes,"1) no intervention
2) visualization intervention
3) information intervention
4) visualization + information intervention""",We first show how certain movements and patterns of gestures correlate positively with collaboration and learning gains. We next use clustering algorithms to find prototypical body positions of participants and relate amount of time spent in certain postures with learning gains,G=42; I=84,real-time,lab,Model/metric ,We need a [better] way of measuring / detecting / predicting something,age mean 26.7; female 60%,"We found predictors for those dependent measures in a naturalistic, open-ended task that routinely takes place in makerspaces and engineering courses. While there are limitations to this work, our contribution paves the way to rich multimodal analyses of students’ collaboration. It also unlocks new opportunities to design innovative interventions to support social interactions in small groups",NS
53,53,,78,iulian,Does real-time mutual gaze15perception intervention help students achieve a higher quality of collaboration and higher learning gains ?,Design,See,"explore the effects of brain function, using contrasting cases","1) see other's gaze
2) don't see other's gaze",Real-time mutual gaze perception intervention helped students achieve a higher quality of collaboration and a higher learning gain.,"G=24, I=42",real-time,lab,Tool/application,We want something that changes people’s behavior / Need to improve existing practices,age mean 23; college students,"We argue that the use of eye-trackers is highly relevant for studying700collaborative learning, because it provides the opportunity to speed up the research process by701quickly computing metrics of interest and by providing real-time feedback to learners and702teachers.","We hypothesize that our688intervention may lead to similar benefits for students working on an interactive surface (as while689wearing eye-tracking goggles). Finally, our results have further implications for teachers’690practices; with training, we posit that gaze-awareness tools could teach students the value of691achieving joint attention in collaborative groups."
54,54,,80,iulian,1. Which PCI reflects better the collaborative will? 2.  Which PCI predicts the collaborative learning productand the dual learning gain the best,Metric-construct connection,"More  is  needed  to  knowabout socio-emotional and cognitive interaction pro-cesses, and new methodological solutions may offer what theearlier have not achieved. The measurement of collaborationin general is a challenge as such, as there are not enough in-dicators available so far",design nutritious breakfast,NS,"Regression analy-ses showed that out of the five PCIs, IDM related the mostto CW and was the best predictor of the CLP. Meanwhile,DA predicted DLG the best.","G=16, I=46",NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,age 16-19,"As  biosensors  are  becoming  more  and  more  common  ineveryday life,  we believe that they can increase the acces-sibility  to  a  data  source  with  potential  to  enrich  the  LAfield.   They  can  be  used  as  input  for  a  learning-orientedbiofeedback dashboard in a computer supported collabora-tive learning (CSCL) context. ",Further studies on the applications of EDA to the learn-ing  sciences  should  consider  the  laterality  effect.   Lateralmeasures  need  to  be  compared  and  correlated  to  learning.
55,55,,82,iulian,What is the relationship between the nonverbal and verbal features and three measures of successful interaction?,Metric-construct connection,We created an experiment to mimic complex voice search tasks in order to understand how affective signals can be used to improve information retrieval.,information seeking tasks,NS,"We found that those who were expressive in channels that were missing from the communication channel (e.g., facial actions and gaze) were rated as communicating poorly, being less helpful and understanding. Having a way of reinstating nonverbal cues into these interactions would improve the experience, even when the tasks are purely information seeking exercises.","G=22, I=44",NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,age 24-65; 24 females; 20 males,"Designing successful agents that interpret and express emotion probably requires visual cues, in addition to audio cues, even if the interactions are by voice alone.","Agents that lack these abilities are likely to be rated as less helpful in addition to being poorer communicators. However, testing this with an artificial agent remains as future work."
56,56,,83,iulian,"RQ1:  What  behavioral  patterns  (in  terms  of  the  team’s interaction, speech, and body movement)  emerge  during remote collaborative problem solving?•RQ2: How do these patterns predict subjective and objective outcomes? •RQ3:  What  is  the  advantage  of  multimodal  patterns  over unimodal primitives?",Model-building,we aim   to identifyinterpretable  patterns  in  teams’  verbal  and  nonverbal  behaviors that correlate with meaningful outcomes during remote CPS. ,collaborative programming,NS,"We  found  that idling with limited  speech  (i.e., silence or  backchannel  feedback  only) and without    movement    was    negatively    correlated    with    task performance and with participants’  subjective perceptions of the collaboration. However, being silent and focused during solution execution   was   positively   correlated   with task performance. Results   illustrate that in   some   cases,   multimodal   patterns improved the predictions and improved explanatory power overthe unimodal primitives.","G=116, I=348",NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,students age mean 20,Our   work provides   in-detailed   insights   on   interaction patterns and behaviors observed   in   the   large-scaled   datasets and has implications for the design of real-time interventions.,"uture  research  should  include  factors  such  as the team’s  demographic  composition,  personality  differences,  prior knowledge  effects,  and task-related  aspects  (i.e.,  establishing common   grounds,   setting   goals,   or   getting familiar with teammates) in order to study the incremental predictive validity of the patterns over these more stable factors. "
57,57,,84,iulian,Do physiological measures of synchrony relate to learning gains and collaboration? Does telling participants to balance their collaboration actually influence changes in physiological synchrony?,Metric-construct connection,"The goal of this project is to explore how various kinds of sensors, such as eye-trackers, motion  sensors, galvanic skin response wristbands, can capture proxies of 21st  skills during learning activities. ",robot programming,2x2 with two variables 1] presence of visual indication of speech balance;  2] presence of instruction about speech balance benefits on collaboration,Detected some correlations between physiological synchrony indicators and learning/collaboration,"G=42, I=84",real-time,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,age mean 26.7; female 60%,NS,"In terms of future work, we want to consider the more specific characteristics of EDA: tonic versus phasic changes."
58,58,,89,callie,"i) Can the Pose All perform better than existing visual activity based nonverbal features (NFs) (Head Body Act) in predicting emerging leaders (EL)?
ii) Can unsupervised feature learning (DBM) contribute to improve the most and the least EL identication performances of Pose All? If yes, is it performing better than pre-processed Head Body Act?
iii) Can Pose All contribute to improve the most and the least EL detection performances of already well-performing NFs, i.e. V FOA and Speak Act? If yes, is its contribution better than Head Body Act's?",Model-building,"In this work, the main question asked is if the proposed pose-based nonverbal features perform better than existing Visual Act based nonverbal features for the identication of the most and the least emerging leaders.",Survival task,NS,"Overall, when feature subsets were used, the pose-based NFs were not signicantly better or worse than other Visual Act based NFs, although Head Act was particularly good at the least EL detection.",G=16; I=64,NS,lab,Model/metric,We need a [better] way of measuring / detecting / predicting something,44 females; 20 males; unacquainted; same gender within group,NS,NS
59,59,,90,callie,Can emergent leadership be automatically detected with non-verbal visual features derived from video?,Metric-construct connection,We propose novel nonverbal visual features which are extracted from head pose of the people in a meeting environment to detect emergent leadership.,Survival task,NS,The proposed nonverbal features performed well for detection of the most and the least ELs (70% of detection rate in average) when the majority of the dened nonverbal features were highly correlated with the results of the social psychology questionnaires. ,"G=16, I=64",NS,lab,Model/metric; Dataset,We need a [better] way of measuring / detecting / predicting something,44 females; 20 males; unacquainted; same gender within group,"in absence of audio sensors, the accurate detection of social interactions is still crucial.",NS
60,60,,92,callie,"can we distinguish high from low collaboration groups by identifying patterns of interaction, based on their interwoven verbal and touch actions?",Model-building,"We design an automatic approach to distinguish, discover and distil patterns of interaction that can be associated with groups’ strategies.",learn and draw concept map on what should be included in a balanced diet,NS,We demonstrate that our approach can be used to discover patterns that may be associated with strategies that differentiate high and low collaboration groups.,G=20; I=60,NS,lab,Model/metric ,We need a [better] way of measuring / detecting / predicting something,NS,NS,Our approach can serve as a basis for the implementation of a system that can automatically and unobtrusively capture verbal and physical activity at the tabletop in order to alert teachers of possible issues in small-groups activities.
