id,paper_id_new,,paper_id,coder,data,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_smaller_standardized,metric_IG_category,data_per_metric,outcome,outcome_instrument,outcome_smaller_category,outcome_larger_category,analysis_and_results mm-oo:analysis:resultsig,outcome -significance
40,40,,58,edwin,II) Video,II) Camera,II) NS,"1) Count Of Faces Looking At Screen
2) Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Hand Motion Speed","1) Gaze
2) Body
3) Body
4) Body","1) Visual Attention
2) Location
3) Hand Motion
4) Hand Motion","1) Visual Attention
2) Location
3) Hand Motion
4) Hand Motion","1) Individual
2) Individual
3) Individual
4) Individual","1) II
2) II
3) II
4) II","a) engagement
B) synchronisation
c) individual accountability","a) researcher coded
B) researcher coded
c) researcher coded","a) cognitive engagement
B) coordination
c) coordination","a) process
B) process
c) process","3-C: regression: sig
3-B: regression: sig
1+3-B: regression: sig
3-A: regression: sig","a) 1
B) 1
c) 1"
41,41,,60,edwin,V) Log Data,V) Touch Screen,V) Microsoft Pixelsense Sdk,1) Touch Patterns,1) Log Data,1) Touch,1) Touch,1) Individual,1) V,a) social regulation,a) Rogat and linnenbrink-garcia’s framework,a) coordination,a) process,1-A: calculation: (84.2%),a) Rogat and linnenbrink-garcia’s framework
42,42,,61,steph,"III) Audio
I) Eye Gaze
VI) EDA
IV) Kinesiology","III) Kinect
I) Eye Tracker
VI) Wearable Sensor
IV) Kinect","III) Kinect
I) Tobii Eye Trackers
VI) Empatica (E4)
IV) Microsoft Kinect","1) Total Movement Across Upper Body Joints And Body Parts
2) Talking Time","1) Body
2) Verbal","1) Gross Body Motion
2) Speech Participation","1) Gross Body Motion
2) Speech Participation","1) Individual
2) Individual","1) IV
2) III",a) collaboration quality,a) researcher coded ,a) coordination,a) process,"1-A: correlation: sig
2-A: correlation: sig",a) 1
43,43,,62,steph,I) Eye Gaze,I) Eye Tracker,I) NS,1) Evt Of Spatial Entropy,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) I,"a) collaboration outcome
B) learning gain","a) Ns
B) pre-post test","a) performance
B) learning","a) product
B) product","1-A: regression: sig
1-B: regression: sig","a) 1
B) 1"
44,44,,63,iulian,"II) Video
III) Audio
VI) EDA","II) Camera
III) Microphone
VI) Wearable Sensor","II) 360 Video Camera Moore System
III) 360 Video Camera Moore System
VI) Empatica (E3)","1) Facial Expression
2) Physiological Simultaneous Arousal","1) Head
2) Physiological","1) Facial Expressions
2) EDA","1) Facial Expressions
2) EDA","1) Individual
2) Group","1) II
2) VI","a) type of working activity
B) group interaction","a) researcher coded
B) researcher coded","a) coordination
B) communication","a) process
B) process","1-A: calculation: nonsig
1-B: ANOVA: sig
2-A: calculation: nonsig
2-B: calculation: nonsig","a) 0
B)0"
45,45,,64,iulian,"III) Audio
IV) Kinesiology
V) Log Data","III) Microphone
IV) Wearable Sensor
V) Digital Pen","III) NS
IV) NS
V) NS","1) Speaking Turn Features
2) Acoustic Features
3) Head Motion Features
4) Linguistic Features","1) Verbal
2) Verbal
3) Head
4) Verbal","1) Speech Participation
2) Speech Features
3) Head Motion
4) Speech Content","1) Speech Participation
2) Speech Features
3) Head Motion
4) Speech Content","1) Group
2) Individual
3) Individual
4) Individual","1) III
2) III
3) IV
4) V",a) task performance,a) researcher coded,a) performance,a) product,1*2*3*4-A: unsup. machine learning: sig,a) 1
46,46,,66,bert,I) Eye Gaze,I) Eye Tracker,I) Tobii,1) Network Features,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) I,a) collaboration quality,a) researcher coded,a) coordination,a) process,"1-A: sup. machine learning: (85-100%)
1-A: correlation: sig",a) 1
47,47,,69,steph,"IV) Kinesiology
IV) Kinesiology
III) Audio
V) Log Data","IV) Kinect
IV) Kinect
III) Microphone
V) Arduino Ide ","IV) Logitech C920
IV) Microsoft Kinect
III) NS
V) Arduino","1) Number Of Faces Looking At Screen
2) Mean Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Mean Hand Movement Speed
5) Mean Audio Level
6) Arduino Measure Of Complexity
7) Arduino Active Hardware Blocks
8) Arduino Active Software Blocks
9) Arduino Active Blocks
10) Student Work Phases","1) Head
2) Body
3) Body
4) Body
5) Verbal
6) Log Data
7) Log Data
8) Log Data
9) Log Data
10) Log Data","1) Head Motion
2) Location
3) Hand Motion
4) Hand Motion
5) Speech Features
6) Task-Related
7) Task-Related
8) Task-Related
9) Task-Related
10) Task-Related","1) Head Motion
2) Location
3) Hand Motion
4) Hand Motion
5) Speech Features
6) Task-Related
7) Task-Related
8) Task-Related
9) Task-Related
10) Task-Related","1) Group
2) Individual
3) Individual
4) Individual
5) Individual
6) Individual
7) Individual
8) Individual
9) Individual
10) Individual","1) IV
2) VI
3) VI
4) VI
5) III
6) V
7) V
8) V
9) V
10) IV",a) task performance,a) researcher coded,a) performance,a) product,1*2*3*4*5*6*7*8*9*10-A: sup. machine learning: (24%),a) 0
48,48,,70,steph,"III) Audio
V) Log Data ","III) Microphone
V) Digital Pen","III) NS
V) Anoto","1) Pause Duration
2) Energy
3) Articulation Rate
4) Fundamental Frequency
5) Peak Slope
6) Spectral Stationarity
7) Writing Rate
8) Writing Area
9) Aspect Ration
10) Pressure
11) Uninterrupted Writing
12) Pause Distribution/Average Pauses","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Log Data
8) Log Data
9) Log Data
10) Log Data
11) Log Data
12) Log Data","1) Speech Participation
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Text
8) Text
9) Text
10) Text
11) Text
12) Text","1) Speech Participation
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Text
8) Text
9) Text
10) Text
11) Text
12) Text","1) Individual
2) Individual
3) Individual
4) Individual
5) Individual
6) Individual
7) Individual
8) Individual
9) Individual
10) Individual
11) Individual
12) Individual","1) III
2) III
3) III
4) III
5) III
6) III
7) V
8) V
9) V
10) V
11) V
12) V","a) leadership
B) expertise","a) assigned
B)task outcome","a) group composition
B) group composition","a) condition
B) condition","1-A: t-test: sig
3-A: t-test: sig
5-A: t-test: sig
6-A: t-test: sig
5-B: t-test: sig
3-B: t-test: nonsig
1-B: t-test: nonsig
6-B: t-test: nonsig","a) 1
B) 0"
49,49,,71,steph,"IV) Kinesiology
V) Log Data
III) Audio","IV) Kinect
V) Arduino Ide
III) Microphone","IV) NS
V) Arduino
III) Microphone","1) Faces Looking At Screen
2) Distance Between Learners
3) Mean Distance Between Hands (dbh)
4) Number Of Active Blocks
5) Variety Of Hardware Blocks
6) Variety Of Software Blocks
7) Number Of Interconnections Between Blocks
8) Audio Level","1) Head
2) Body
3) Body
4) Log Data
5) Log Data
6) Log Data
7) Log Data
8) Verbal","1) Head Motion
2) Location
3) Hand Motion
4) Task-Related
5) Task-Related
6) Task-Related
7) Task-Related
8) Speech Features","1) Head Motion
2) Location
3) Hand Motion
4) Task-Related
5) Task-Related
6) Task-Related
7) Task-Related
8) Speech Features","1) Individual
2) Individual
3) Individual
4) Individual
5) Individual
6) Individual
7) Individual
8) Individual","1) IV
2) IV
3) IV
4) V
5) V
6) V
7) V
8) III",a) task performance,a) researcher coded ,a) performance,a) product,"1+2-A: sup. machine learning: sig
8-A: sup. machine learning: sig",a) 1
50,50,,73,steph,I) Eye Gaze,I) Eye Tracker,I) Tobii Pro Glasses 2,1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) I,"a) collaboration quality
B) collaboration
c) learning gain
D) task performance","a) researcher coded
B) researcher coded
c) pre-post test
D) task outcome","a) coordination
B) coordination
c) learning
D) performance","a) process
B) process
c) product
D) product","1-A: correlation: sig
1-A: correlation: sig","a) 1
B) /
c) /
D)/"
51,51,,74,steph,I) Eye Gaze,I) Eye Tracker,I) SMI (Eye- Tracking Glasses With Binocular Pupil Tracking At 30Hz),1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) I,"a) collaboration quality
B) student performance
c) learning gain ","a) researcher coded
B) task outcome
c) pre-post test","a) coordination
B) performance
c) learning","a) process
B) product
c) product","1-A: correlation: sig
1-B: regression: sig
1-C: correlation: sig","a)1
B)1
c) 1"
52,52,,75,steph,IV) Kinesiology,IV) Kinect,IV) Microsoft Kinect,"1) Joint Movement
2) Joint Angle
3) Dyad Proximity","1) Body
2) Body
3) Body","1) Gross Body Motion
2) Gross Body Motion
3) Location","1) Gross Body Motion
2) Gross Body Motion
3) Location","1) Individual
2) Individual
3) Individual","1) IV
2) IV
3) IV","a) task performance
B) collaboration
c) learning gain","a) researcher coded
B) researcher coded
c) pre-post test","a) performance
B) coordination
c) learning","a) product
B) process
c) product","1-A: correlation: sig
1-B: correlation: nonsig
2-A: correlation: sig / mixed
3-B: correlation: nonsig
3-A: correlation: sig","a) 1
B) 0
c) /"
53,53,,78,iulian,"I) Eye Gaze
II) Video","I) Eye Tracker
II) Eye Tracker","I) Tobii X1
II) Tobii X1 Eye Tracker","1) Joint Visual Attention
2) Cognitive Load (From Pupil Size)","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Physiology","1) Visual Attention
2) Eye Physiology","1) Individual
2) Individual","1) I
2) II",a) learning gain,a) pre-post test,a) learning,a) product,"1-A: mediation: sig
2-A: mediation: nonsig",a) 1/0
54,54,,80,iulian,VI) EDA,VI) Wearable Sensor,VI) Empatica (E3),"1) Signal Matching
2) Instantaneous Derivative Matching
3) Directional Agreement
4) Pearson’S Correlation Coefficient
5) Fisher’S Z-Transform Of Pearson'S Correlation Coefficient","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) Group
2) Group
3) Group
4) Group
5) Group","1) VI
2) VI
3) VI
4) VI
5) VI","a) collaborative will
B) collaborative learning product
c) group learning gain","a) self report
B) researcher coded
c) researcher coded","a) interpersonal relationship
B) performance
c) learning","a) process
B) product
c) product","1,3,4,5-A : regression: nonsig
2-A: regression: sig
1,3,4,5-B : regression: nonsig
2-B: regression: sig
1,2,4,5-C: regression: nonsig
3-C: regression: sig","a) 1/0
B) 1/0
c) 1/0"
55,55,,82,iulian,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Linguistic Features
2) Voice Features
3) Facial Expression","1) Verbal
2) Verbal
3) Head","1) Speech Content
2) Speech Features
3) Facial Expressions","1) Speech Content
2) Speech Features
3) Facial Expressions","1) Individual
2) Individual
3) Individual","1) III
2) III
3) II","a) social perception
B) social perception
c) social perception","a) questionnaire
B) questionnaire
c) questionnaire","a) interpersonal relationship
B) interpersonal relationship
c) interpersonal relationship","a) process
B) process
c) process","1+2+3-A: correlation: sig
1+2+3-B: correlation: sig
1+2+3-C: correlation: sig
1,2-A: correlation: nonsig
1,2-B: correlation: nonsig
1,2-C: correlation: nonsig
3-A: correlation: sig
3-B: correlation: sig
3-C: correlation: sig","a) 1
B) 1
c) 1"
56,56,,83,iulian,"II) Video
V) Log Data","II) Camera
V) Own Application","II) NS
V) NS","1) Type Of Activity Done In Task
2) Amount Of Face And Body Movement
3) Target For Discussion Partner","1) Log Data
2) Body
3) Log Data","1) Task-Related
2) Gross Body Motion
3) Task-Related","1) Task-Related
2) Gross Body Motion
3) Task-Related","1) Individual
2) Individual
3) Individual","1) V
2) II
3) II","a) task performance
B) perception of collaboration","a) researcher coded
B) self report","a) performance
B) interpersonal relationship","a) product
B) process","1*2*3-A: correlation: sig
1*2*3-B: correlation: sig","a) 1
B) 1"
57,57,,84,iulian,"II) Video
III) Audio
VI) EDA","II) Kinect
III) Kinect
VI) Wearable Sensor","II) NS
III) NS
VI) Empatica (E4)","1) Signal Matching
2) Instantaneous Derivative Matching
3) Directional Agreement
4) Pearson’S Correlation Coefficient
5) Speech Activity","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Verbal","1) Combined
2) Combined
3) Combined
4) Combined
5) Speech Participation","1) Combined
2) Combined
3) Combined
4) Combined
5) Speech Participation","1) Group
2) Group
3) Group
4) Group
5) Group","1) VI
2) VI
3) VI
4) VI
5) III","a) learning gain
B) collaboration quality
c) collaboration quality
D) colaboration quality
E) collaboration quality","a) pre-post test
B) researcher coded
c) researcher coded
D) researcher coded
E) researcher coded","a) learning
B) communication
c) coordination
D) coordination
E) coordination","a) product
B) process
c) process
D) process
E) process","1,2,3-A: correlation : nonsig
4-A: correlation: sig
5-A: ANOVA : sig
1,2,4-B: correlation : nonsig
3-B: correlation: sig
1,2,4-C: correlation : nonsig
3-C: correlation: sig
1,2,4-D: correlation: nonsig
3-D: correlation: sig
1,2,3-E: correlation : nonsig
4-E: correlation: sig","a) 1/0
B) 1/0
c) 1/0
D) 1/0
E) 1/0"
58,58,,89,callie,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Head/Body Movement
2) (Non)Concurrent Speech Length
3) Speaking Turn Duration/Number
4) Interruption","1) Body
2) Verbal
3) Verbal
4) Verbal","1) Gross Body Motion
2) Speech Participation
3) Speech Participation
4) Speech Participation","1) Gross Body Motion
2) Speech Participation
3) Speech Participation
4) Speech Participation","1) Individual
2) Individual
3) Group
4) Group","1) II
2) III
3) III
4) III",a) leadership,a) researcher coded,a) group composition,a) condition,"1-A: sup. machine learning: sig
2+3+4-A: sup. machine learning: sig
1+2+3+4-A: sup. machine learning: mixed",a) 1
59,59,,90,callie,II) Video,II) Camera,II) NS,1) Visual Field Of Attention On A Person Features,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) II,a) leadership,a) questionnaire,a) group composition,a) condition,"1-A: correlation: mixed
1-A: sup. machine learning: sig",a)1
60,60,,92,callie,"III) Audio
V) Log Data","III) Microphone
V) Own Application","III) Dev Audio
V) Cmate","1) Speech Time And Frequency
2) Symmetry Of Speech Among Group
3) Total Number Of Touch Actions
4) Symmetry Of Touch Actions Among Group","1) Verbal
2) Verbal
3) Log Data
4) Log Data","1) Speech Participation
2) Speech Participation
3) Touch
4) Touch","1) Speech Participation
2) Speech Participation
3) Touch
4) Touch","1) Individual
2) Group
3) Individual
4) Group","1) III
2) III
3) V
4) V",a) collaboration,a) researcher coded,a) coordination,a) process,1+2+3+4-A: sup. machine learning: sig: (85%),a) 1
61,61,,93,callie,"III) Audio
V) Log Data","III) Microphone
V) Own Application","III) NS
V) NS","1) Speech Quantity
2) Physical Participation Quantity
3) Number Of Active Participants In Group
4) Verbal Participation Symmetry Among Group
5) Physical Participation Symmetry Among Group","1) Verbal
2) Log Data
3) Verbal
4) Verbal
5) Log Data","1) Speech Participation
2) Task-Related
3) Speech Participation
4) Speech Participation
5) Task-Related","1) Speech Participation
2) Task-Related
3) Speech Participation
4) Speech Participation
5) Task-Related","1) Individual
2) Individual
3) Group
4) Group
5) Group","1) III
2) V
3) III
4) III
5) V",a) collaboration,a) researcher coded,a) communication,a) process,1+2+3+4-A: sup. machine learning: sig,a) 1
62,62,,94,callie,IV) Kinesiology,IV) Kinect,IV) Microsoft Kinect,"1) Time Spent Individually
2) Time Spent As A Group
3) Diversity Of Collaborative Interactions
4) Transition Probabilities Between Collaborative State","1) Body
2) Body
3) Body
4) Body","1) Location
2) Location
3) Location
4) Location","1) Location
2) Location
3) Location
4) Location","1) Group
2) Group
3) Group
4) Group","1) IV
2) IV
3) IV
4) IV","a) technical ability
B) social ability
c) time spent in makerspace
D) emotion","a) researcher coded
B) researcher coded
c) researcher coded
D) survey","a) performance
B) interpersonal relationship
c) performance
D) affective","a) product
B) process
c) product
D) process","1-A: correlation: mixed
2-A: correlation: mixed
2-B: correlation: mixed
4-A: correlation: mixed
4-C: correlation: mixed
4-D: correlation: mixed","a) 1/0
B) 1/0
c) 1/0
D) 1/0
E) 1/0"
63,63,,96,bert,VI) EDA,VI) Electrodes,VI) Shimmer 3 Gsr+ ,1) Physiological Synchrony (Pc),1) Physiological,1) EDA,1) EDA,1) Group,1) VI,"a) confidenct
B) mental effort
c) task performance
D) task performance
E) emotion
F) group performance
g) gropu performance ","a) questionnaire
B) questionnaire
c) questionnaire
D) questionnaire
E) questionnaire
F) questionnaire
g) performance score","a) affective
B) cognitive engagement
c) cognitive engagement
D) cognitive engagement
E) affective
F) performance
g) performance","a) process
B) process
c) process
D) process
E) process
F) product
g) product","1-A: regression: nonsig
1-B: regression: sig: (positive)
1-C: regression: nonsig
1-D: regression: nonsig
1-E: regression: nonsig
1-F: regression: nonsig
1-G: regression: nonsig","a) 0
B)1
c) 0
D) 0
E) 0
F) 0
g)0"
64,64,,97,bert,"VI) EDA
VII) ECG
XII) Other","VI) Electrodes
VII) Electrodes
XII) Electrodes","VI) Biopac Mp150
VII) Biopac El504
XII) Biopac El254S ","1) EDA Synchrony
2) Smiling Synchrony
3) Heart Rate Sychrony","1) Physiological
2) Head
3) Physiological","1) EDA
2) Facial Expressions
3) Heart","1) EDA
2) Facial Expressions
3) Heart","1) Group
2) Group
3) Group","1) VI
2) XII
3) VII","a) team cohesion
B) routine choice","a) questionnaire
B) researcher coded","a) interpersonal relationship
B) coordination","a) process
B) process","1-A: regression: sig: (negative)
2-A: regression: sig
2-B: regression: sig","a) 1
B) 1"
65,65,,99,bert,VIII) EEG,VIII) EEG Sensor,"VIII) Emotiv
",1) Brain Synchrony,1) Physiological,1) Brain,1) Brain,1) Individual,1) VIII,"a) engagement
B) social dynamics","a) questionnaire
B) questionnaire","a) cognitive engagement
B) interpersonal relationship","a) process
B) process","1-A: regression: sig
1-B: regression: sig","a) 1
B) 1"
66,66,,101,bert,"III) Audio
II) Video
IV) Kinesiology","III) Microphone
II) Kinect
IV) Kinect ","III) Microsoft Kinect
II) Microsoft Kinect
IV) Microsoft Kinect","1) Upper Body Agitation
2) Hand Agitation
3) Head Orientation
4) Speech Length/Turns","1) Body
2) Body
3) Body
4) Verbal","1) Gross Body Motion
2) Hand Motion
3) Head Motion
4) Speech Participation","1) Gross Body Motion
2) Hand Motion
3) Head Motion
4) Speech Participation","1) Individual
2) Individual
3) Individual
4) Individual","1) IV
2) IV
3) II
4) III",a) agreement,a) experts evaluation,a) coordination,a) process,1+2+3+4-A: sup. machine learning: sig: (75%),a) experts evaluation
67,67,,103,bert,"VI) EDA
VII) ECG","VI) Wearable Sensor
VII) Wearable Sensor","VI) Huixin Psychorus
VII) Huixin Psychorus","1) EDA Synchrony
2) Heart Rate Sychrony","1) Physiological
2) Physiological","1) EDA
2) Heart","1) EDA
2) Heart","1) Group
2) Group","1) VI
2) VII",a) collaboration quality,a) researcher coded,"a) cognitive engagement
B) coordination
c) coordination",a) process,"1-A: sup. machine learning: sig
2-A: sup. machine learning: nonsig",a) 1/0
68,68,,104,bert,I) Eye Gaze,I) Eye Tracker,I) Tobii 4C,1) Shared Gaze,1) Gaze,1) Visual Attention,1) Visual Attention,1) Individual,1) I,"a) cognitive load
B) collaboration quality
c) task performance
D) gaze overlap","a) questionnaire
B) self-report
c) task outcome
D) calculation","a) cognitive engagement
B) coordination
c) performance
D) coordination","a) process
B) process
c) product
D) process","1-A: anova: nonsig
1-B: anova: sig
1-C: anova: sig
1-D: anova: sig","a) 0
B) 1
c) 1
D) 1"
69,69,,105,bert,II) Video,II) Camera,II) Canon VIxia Hv30,1) Body Synchronization,1) Body,1) Gross Body Motion,1) Gross Body Motion,1) Group,1) II,"a) cooperation
B) cultural style matching
c) language style matching
D) laughter","a) task outcome
B) video coding
c) video coding
D) video coding","a) interpersonal relationship
B) group composition
c) group composition
D) interpersonal relationship","a) process
B) condition
c) condition
D) process","1-A: regression: nonsig
1-B: regression: sig: (neg)
1-C: regression: sig: (neg)
1-D: regression: sig","a)0
B) 1
c) 1
D) 1"
70,70,,174,iulian,"III) Audio
V) Log Data","III) Microphone
V) Log Data","III) NS
V) NS","1) Speech Time
2) Prosodic Speech Features
3) Movement Of Objects","1) Verbal
2) Verbal
3) Log Data","1) Speech Participation
2) Speech Features
3) Task-Related","1) Speech Participation
2) Speech Features
3) Task-Related","1) Individual
2) Individual
3) Individual","1) III
2) III
3) V",a) collaboration quality,a)researcher coded,a) coordination,a) process,1*2*3-A: sup. machine learning: sig,a)1
71,71,,181,iulian,IV) Kinesiology,IV) Video Camera Array,IV) NS,1) Gesture Type And Location,1) Body,1) Hand Motion,1) Hand Motion,1) Individual,1) IV,"a) frequency of utterances
B) subjective workload","a) calculation
B) survey","a) communication
B) cognitive engagement","a) process
B) process","1-A: ANOVA: sig
1-B: ANOVA: sig","a) 1
B) 1"
72,72,,182,iulian,"II) Video
III) Audio","II) Camera
III) Microphone","II) NS
III) NS","1) Speech Length
2) Attention Received Per Person
3) Attention Given By Person","1) Verbal
2) Gaze
3) Gaze","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Speech Participation
2) Visual Attention
3) Visual Attention","1) Individual
2) Individual
3) Individual","1) III
2) II
3) II",a) personality,a) self-report,a) group composition,a) condition,1*2*3-A: sup. machine learning: sig,a) 1
73,73,,503,steph,I) Eye Gaze,I) Eye Tracker,I) Applied Science Laboratories (Asl) Eyevision System,1) Gaze Overlap,1) Gaze,1) Visual Attention,1) Visual Attention,1) Group,1) I ,a) conversation contents,a) researcher coded,a) communication,a) process,1-A: regression: nonsig,a) 0
74,74,,506,iulian,III) Audio,III) Microphone,III) NS,"1) Duration Of Speech By Each Student
2) Duration In Which Each Student Was Only Speaker
3) Duration Of Overlapping Speech From Pairs Of Students
4) Duration Of Overlapping Speech From All People
5) Duration Of Silence For All People
6) Prosodic And Tone Features","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Features","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Features","1) Individual
2) Individual
3) Individual
4) Individual
5) Individual
6) Individual","1) III
2) III
3) III
4) III
5) III
6) III",a) collaboration quality,a) researcher coded,a) coordination,a) process,1*2*3*4*5*6-A: sup. machine learning: nonsig,a) 0
75,75,,(Dis)Engagement Matters: Identifying Efficacious Learning Practices with Multimodal Learning Analytics,,"IV) Kinesiology
II) Video","IV) Kinect
II) Camera","IV) Microsoft Kinect
II) NS","1) Clustered Hand/Wrist Movement
2) Object Manipulation","1) Body
2) Body","1) Hand Motion
2) Task-Related","1) Hand Motion
2) Task-Related",,"1) IV
2) II",a) learning gain,a) pre-post test,a) learning,a) product,1-A: sup. machine learning: sig: (ACC: 76%),a) pre-post test
76,76,,Unraveling Students’ Interaction Around a Tangible Interface Using Multimodal Learning Analytics,,"IV) Kinesiology
V) Log Data","IV) Kinect
V) Own Application","IV) Microsoft Kinect
V) Created","1) Amount Of Exploration
2) Types Of Exploration
3) Amount Of Movement
4) Type Of Movement
5) Body Synchronization
6) Body Distance","1) Log data
2) Log data
3) Body","1) Task-Related
2) Task-Related
3) Gross Body Motion","1) Task-Related
2) Task-Related
3) Gross Body Motion",,"1) V
2) V
3) IV
4) IV
5) IV
6) IV","a) individual learning gain
B) group learning gain
c) leadership","a) pre-post test
B) pre-post test
c) coding","a) learning
B) learning
c) Interpersonal relationship","a) product
B) product
c) process","1-A: correlation: nonsig
2-A: correlation: mixed
3-A: correlation: nonsig
4-A: correlation: sig
4-C: ANOVA: sig
5-A: ANOVA: nonsig
6-A: correlation: nonsig
1,2,3,4,5,6-B: sup. machine learning: sig: (ACC: 100%)","a) 1/0
B) 1
c) 1"
78,78,,Does Seeing One Another’s Gaze Affect Group Dialogue? A Computational Approach,,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii X1
III) NS","1) Joint Visual Attention
2) Simple Linguistic Features
3) Convergence Of Linguistic Styles
4) Coherence","1) Gaze
2) Verbal","1) Visual Attention
2) Speech Participation","1) Visual Attention
2) Speech Participation",,"1) I
2) III
3) III
4) III","a) learning
B) collaboration","a) pre-post test
B) coding scheme","a) learning
B) coordination","a) product
B) process","4-A: correlation: sig
4-B: ANOVA: sig
2-A: sup. machine learning: (75%)","a) 1
B) 1"
79,79,,Real-time mutual gaze perception enhances collaborative 4 learning and collaboration quality,,"I) Eye Gaze
II) Video","I) Eye Tracker
II) Eye Tracker","I) Tobii X1
II) Tobii X1 Eye Tracker","1) Joint Visual Attention
2) Cognitive Load (From Pupil Size)","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Physiology","1) Visual Attention
2) Eye Physiology",,"1) I
2) II",a) learning gain,a)pre-post test,a) learning,a) product,"1-A: mediation: sig
2-A: mediation: nonsig",a)1/0
80,80,,Challenging Joint Visual Attention as a Proxy for Collaborative Performance,22,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) Computer System Audio
V) NS","I) SMI (Red 250 Eye Trackers 250Hz)
III) NS
V) NS","1) Joint Visual Attention
2) Joint Mental Effort
3) Dialogue","1) Gaze
2) Gaze
3) Verbal","1) Visual Attention
2) Visual Attention
3) Speech Features ","1) Visual Attention
2) Visual Attention
3) Speech Features ",,"1) I
2) I
3) III
4) V",a) learning performance,a) task outcome,a) product,a) product,"1-A: ANOVA: sig
2-A: ANOVA: sig",a) 1
81,81,,Deep neural networks for collaborative learning analytics: Evaluating team collaborations using student gaze point prediction,,I) Eye Gaze,"I) Camera","I) Microsoft Kinect, Gaze Following Framework (Gazefollow)",1) Joint Visual Attention,1) Gaze,1) Visual Attention,1) Visual Attention,,1) I,a) learning gain,a) pre-post test,a) product,a) product,1-A: correlation: sig,a) 1
82,82,,"Utilizing Interactive Surfaces to Enhance Learning, Collaboration and Engagement: Insights from Learners’ Gaze and Speech",,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) NS
V) Own Application","I) SMI (Red 250 Eye Trackers 250Hz)
III) NS
V) NS","1) Individual Gaze (Transition From Image To Text)
2) Gaze Similarity (Collaborative Gaze)
3) Gaze Similarity (Gaze Transition Similarity)
4) Speech","1) Gaze
2) Gaze
3) Gaze
4) Verbal","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Speech Participation","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Speech Participation",,"1) I
2) I
3) I
4) III","a) learning gain
B) task performance","a) pre-post test
B)task outcome","a) learning
B) learning","a) product
B) product","1-A: correlation: sig
1-B: correlation: sig
2-A: correlation: sig
2-B: correlation: sig","a) 1
B)1"
83,83,,A Multimodal Exploration of Engineering Students Emotion and Electrodermal Activity in Design Activities,,VI) EDA,VI) Wristband,VI) Empatica (E3),1) Mean Range-Corrected EDA Responses,1) Physiological,1) EDA,1) EDA,,1) VI,"a) emotion - negative
B) emotion - positive","a) self report
B) self report ",a) cognitive,a) process,1-A: corrleation: sig,a) 1
