year,citation,sensors,data,lg_metric,sm_metric,org_metric,org_outcome,sm_outcome,lg_outcome,instrument,settings,analysis
2017,Multimodal prediction of expertise and leadership in learning groups,kinect:microphone:arduino ide,kinesiology:audio:log data,head:body:body:body:verbal:log data:log data:log data:log data:log data,head motion:location:hand motion:hand motion:speech features:task-related:task-related:task-related:task-related:task-related,number of faces looking at screen:mean distance between learners:mean distance between hands (dbh:mean hand movement speed:mean audio level:arduino measure of complexity:arduino active hardware blocks:arduino active software blocks:arduino active blocks:student work phases,task performance,performance,product,researcher coded,lab,sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning
2017,Unpacking Collaborative Learning processes during Hands-on Activities using Mobile Eye-Trackers,kinect:arduino ide:microphone,kinesiology:log data:audio,head:body:body:log data:log data:log data:log data:verbal,head motion:location:hand motion:task-related:task-related:task-related:task-related:speech features,faces looking at screen:distance between learners:mean distance between hands (dbh:number of active blocks:variety of hardware blocks:variety of software blocks:number of interconnections between blocks:audio level,task performance,performance,product,researcher coded,lab,sup. machine learning:sup. machine learning:sup. machine learning
2017,Focused or Stuck Together: Multimodal Patterns Reveal Triads’ Performance in Collaborative Problem Solving,camera:microphone,video:audio,verbal:verbal:head,speech content:speech features:facial expressions,linguistic features:voice features:facial expression,social perception:social perception:social perception,interpersonal relationship:interpersonal relationship:interpersonal relationship,process:process:process,questionnaire:questionnaire:questionnaire,lab,correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation
2017,Multi-modal Social Signal Analysis for Predicting Agreement in Conversation Settings,eeg sensor,eeg,physiological,brain,brain synchrony,engagement:social dynamics,cognitive engagement:interpersonal relationship,process:process,questionnaire:questionnaire,ecological,regression:regression
2017,Improving Visibility of Remote Gestures in Distributed Tabletop Collaboration,microphone:log data,audio:log data,verbal:verbal:log data,speech participation:speech features:task-related,speech time:prosodic speech features:movement of objects,collaboration quality,coordination,process,researcher coded,lab,sup. machine learning:sup. machine learning:sup. machine learning
2017,3D Tangibles Facilitate Joint Visual Attention in Dyads,eye tracker,eye gaze,gaze,visual attention,joint visual attention,collaboration quality:collaboration:learning gain:task performance,coordination:coordination:learning:performance,process:process:product:product,researcher coded:researcher coded:pre-post test:task outcome,lab,correlation:correlation
2017,Detecting Emergent Leader in a Meeting Environment,camera:microphone,video:audio,body:verbal:verbal:verbal,gross body motion:speech participation:speech participation:speech participation,head/body movement:(non:speaking turn duration/number:interruption,leadership,group composition,condition,researcher coded,lab,sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning
2018,Evaluation of user gestures in multi-touch interaction: a case study in pair-programming,microphone,audio,verbal:verbal,speech features:speech features,speech features:linguisitc features,social perception,collaboration,process,self report,university ,sup. machine learning:sup. machine learning
2018,Dual Gaze as a Proxy for Collaboration in Informal Learning,kinect:camera,kinesiology:video,body:log data,hand motion:task-related,clustered hand/wrist movement:object manipulation,learning gain,learning,product,pre-post test,lab,sup. machine learning
2018,"The Additive Value of Multimodal Features for Predicting Engagement, Frustration, and Learning during Tutoring",eye tracker (glasses,eye gaze,gaze:gaze,visual attention:eye motion,gaze fixations:gaze saccades,task performance,performance,product,researcher coded,lab,correlation:correlation
2018,Real-time mutual gaze perception enhances collaborative  learning and collaboration quality,kinect,kinesiology,body:body:body,gross body motion:gross body motion:location,joint movement:joint angle:dyad proximity,task performance:collaboration:learning gain,performance:coordination:learning,product:process:product,researcher coded:researcher coded:pre-post test,lab,correlation:correlation:correlation:correlation:correlation
2018,Meeting mediator: enhancing group collaboration with sociometric feedback,eeg sensor,eeg,physiological,brain,brain waves patterns,situational interest,coordination,process,questionnaire,lab,sup. machine learning
2018,Gaze quality assisted automatic recognition of social contexts in collaborative Tetris,eye tracker,eye gaze,gaze:gaze,visual attention:visual attention,joint visual attention:cycles of collaborative / individual work,learning gain:collaboration quality:task performance,learning:coordination:performance,product:process:product,pre-post test:researcher coded:performance score,lab,correlation:correlation:correlation:correlation
2018,Unraveling Students’ Interaction Around a Tangible Interface Using Multimodal Learning Analytics,kinect:camera,kinesiology:video,body:body,hand motion:task-related,clustered hand/wrist movement:object manipulation,learning gain,learning,product,pre-post test,lab,sup. machine learning
2018,Looking AT versus Looking THROUGH: A Dual Eye-tracking Study in MOOC Context,microphone,audio,verbal:verbal,speech features:speech content,speech features:linguistic features,group performance,performance,product,experts evaluation,lab,sup. machine learning:sup. machine learning
2018,Predicting Group Performance in Task-Based Interaction,ns:ns,audio:video,verbal:verbal:verbal:head,speech features:speech features:speech features:facial expressions,gemaps acoustic features:extended gemaps acoustic features:mfccs:facial action units,laughter:laughter:laughter,interpersonal relationship:interpersonal relationship:interpersonal relationship,process:process:process,computation:computation:researcher coded,lab,sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning:sup. machine learning
2018,Moving as a Leader: Detecting Emergent Leadership in Small Groups using Body Pose,kinect:kinect:wearable sensor,video:audio:eda,physiological:physiological:physiological:physiological:verbal,combined:combined:combined:combined:speech participation,signal matching:instantaneous derivative matching:directional agreement:pearson’s correlation coefficient:speech activity,learning gain:collaboration quality:collaboration quality:colaboration quality:collaboration quality,learning:communication:coordination:coordination:coordination,product:process:process:process:process,pre-post test:researcher coded:researcher coded:researcher coded:researcher coded,lab,correlation:correlation:correlation:correlation:ANOVA:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation
2018,"Are we together or not? The temporal interplay of monitoring, physiological arousal and physiological synchrony during a collaborative exam",kinect:microphone:irma matrix tof sensors,video:audio:other,verbal:gaze:verbal,speech participation:visual attention:speech participation,non-verbal speaking metrics:visual attention:verbal dominance and information metrics,leadership:perceived contribution,interpersonal relationship:interpersonal relationship,process:process,questionnaire:questionnaire,lab,correlation:correlation:correlation:correlation:correlation:correlation:regression:regression:regression:regression:regression:regression
2018,Dynamics of Visual Attention in Multiparty Collaborative Problem Solving using Multidimensional Recurrence Quantification Analysis,ns,audio,verbal,speech content,speech utterances,personality,group composition,condition,self-reported survey,lab,sup. machine learning
2018,An Alternate Statistical Lens to Look at Collaboration Data: Extreme Value Theory,kinect:eye tracker:wearable sensor:kinect,audio:eye gaze:eda:kinesiology,body:verbal,gross body motion:speech participation,total movement across upper body joints and body parts:talking time,collaboration quality,coordination,process,researcher coded,lab,correlation:correlation
2018,Modeling people's focus of attention,wearable sensor:wearable sensor,eda:ecg,physiological,combined,social physiological compliance (spc,task performance,performance,product,log data,ecological,minimum-width envelope
2018,An Integrated Observing Technic for Collaborative Learning: The Multimodal Learning Analytics Based on the Video Coding and EEG Data Mining,camera:microphone:log data,video:audio:log data,body:log data:body:body:verbal:log data,gross body motion:task-related:hand motion:hand motion:speech features:task-related,total number of faces looking toward the screen (flls:total number of connected arduino components (idevhw:mean distance between hands (dbh:mean hand movement speed (hms:mean audio level (aud:mean arduino components activity (idec,task performance,performance,product,researcher coded,lab,regression:regression:regression:regression:regression:regression
2018,Temporal analysis of multimodal data to predict collaborative learning outcomes,wristband,eda,physiological,eda,mean range-corrected eda responses,emotion - negative:emotion - positive,cognitive,process,self report:self report,lab,corrleation
2019,"Linking Speaking and Looking Behavior Patterns with Group Composition, Perception, and Performance",eda sensor:camera,eda:video,physiological:physiological,eda:combined,eda peak detection:physiological concordance index,emotion,cognitive engagement,process,researcher coded,ecological,correlation:correlation
2019,Leveraging Mobile Eye-Trackers to Capture Joint Visual Attention in Co-Located Collaborative Learning,microphone:web camera:electrodes,audio:video:eda,verbal:body:physiological,speech features:gross body motion:eda,speech rate:face and upper body movement:galvanic skin response,collaboration quality:perceived valence:perceived arousal:task performance,interpersonal relationship:affective:affective:performance,process:process:process:product,questionnaire:self- report:self- report:task score,lab,unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning
2019,Does Seeing One Another’s Gaze Affect Group Dialogue?,eye tracker,eye gaze,gaze:gaze:gaze,visual attention:visual attention:visual attention,gaze area of interest:cross-recurrence quantification analysis:multidimensional recurrence quantification analysis,construction of shared knowledge:negotiation:coordination:task performance:group performance,coordination:coordination:coordination:performance:performance,process:process:process:product:product,researcher coded:researcher coded:researcher coded:expert evaluation:self-reported survey,lab,regression:regression:regression:regression:regression:regression:regression
2019,Going beyond what is visible: What multichannel data can reveal about interaction in the context of collaborative learning?,eye tracker,eye gaze,gaze,visual attention,evt of spatial entropy,collaboration outcome:learning gain,performance:learning,product:product,ns:pre-post test,lab,regression:regression
2019,"The relationships between learner variables, tool-usage behaviour and performance",eeg sensor,audio:eeg,physiological,brain,brain synchrony,group performance:group performance,performance:coordination,product:process,researcher coded:log data,lab,positive correlation:negative correlation
2019,Task-independent Multimodal Prediction of Group Performance Based on product Dimensions,camera:microphone:wearable sensor,video:audio:eda,head:physiological,facial expressions:eda,facial expression:physiological simultaneous arousal,type of working activity:group interaction,coordination:communication,process:process,researcher coded:researcher coded,NS,calculation:ANOVA:calculation:calculation
2019,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop,camera:microphone:digital pen and digital paper,video:audio:log data,body:body:body,hand motion:hand motion:hand motion,total manual gestures per second:iconic gestures per second:deictic gestures per second,expertise,group composition,condition,researcher coded,lab,Wilcoxon Signed Ranks test:Wilcoxon Signed Ranks test:Wilcoxon Signed Ranks test
2019,Shared Experiences of Technology and Trust: An Experimental Study of Physiological Compliance Between Active and Passive Users in Technology-Mediated Collaborative Encounters,eye tracker:microphone:kinect:smart wristband,eye gaze:audio:kinesiology:eda,verbal:body:physiological:gaze,speech features:gross body motion:eda:visual attention,coh-metrix indices:physical synchrony:physiological synchrony (pc:joint visual attention,learning gain:collaboration:conversational features,learning:coordination:communication,product:process:process,pre-post test:researcher coded:computation,lab,correlation:correlation:correlation:correlation:correlation:correlation:sup. machine learning
2019,Toward Collaboration Sensing,microphone:wearable sensor:digital pen,audio:kinesiology:log data,verbal:verbal:head:verbal,speech participation:speech features:head motion:speech content,speaking turn features:acoustic features:head motion features:linguistic features,task performance,performance,product,researcher coded,lab,unsup. machine learning:unsup. machine learning:unsup. machine learning:unsup. machine learning
2020,Body synchrony in triadic interaction,eye tracker,eye gaze,gaze,visual attention,shared gaze,cognitive load:collaboration quality:task performance:gaze overlap,cognitive engagement:coordination:performance:coordination,process:process:product:process,questionnaire:self-report:task outcome:calculation,lab,ANOVA:ANOVA:ANOVA:ANOVA
2020,What does physiological synchrony reveal about metacognitive experiences and group performance?,kinect,kinesiology,body:body:body:body,location:location:location:location,time spent individually:time spent as a group:diversity of collaborative interactions:transition probabilities between collaborative state,technical ability:social ability:time spent in makerspace:emotion,performance:interpersonal relationship:performance:affective,product:process:product:process,researcher coded:researcher coded:researcher coded:survey,ecological,correlation:correlation:correlation:correlation:correlation:correlation
2020,Inter-brain synchrony in teams predicts collective performance,camera,video,body:body,hand motion:hand motion,metrics of frequency:metrics of hands distance,cps competence,collaboration,process,researcher coded,ecological,machine learning:machine learning
2020,An Application of Extreme Value Theory to Learning Analytics: Predicting Collaboration Outcome from Eye-Tracking Data,eye tracker:microphone:ns,eye gaze:audio:log data,gaze:gaze:gaze:gaze:verbal:verbal:verbal:verbal:verbal:log data,visual attention:visual attention:visual attention:eye physiology:speech features:speech features:speech features:speech features:speech content:task-related,gaze:entropy:similarity:cognitive load:auto-correlation coefficient:energy:shape of envelope:linear predictive coding:dialog:correct/incorrect/hint feedbacks,learning gain,learning,product,pre-post test,lab,correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation:correlation
2020,Collaboration on Procedural Problems May Support Conceptual Knowledge More than You May Think,eye tracker:emotient:headset,eye gaze:video:audio,gaze:verbal:head:log data,visual attention:speech features:facial expressions:task-related,"gaze features (fixation dispersion, number of fixations and mean fixation duration, mean saccade amplitude, joint attention:acoustic-prosodic information (fundamental frequency (pitch:facial features (face area, positive and negative valence, expressivity, face/upper body motion:task content feature",task performance,performance,product,task outcome,lab,AUROC:AUROC:AUROC:AUROC:AUROC:AUROC:AUROC:AUROC
2020,"Using Physiological Synchrony as an Indicator of Collaboration Quality, Task Performance and Learning",camera:own application,video:log data,log data:body:log data,task-related:gross body motion:task-related,type of activity done in task:amount of face and body movement:target for discussion partner,task performance:perception of collaboration,performance:interpersonal relationship,product:process,researcher coded:self report,lab,correlation:correlation:correlation:correlation:correlation:correlation
2020,A Multimodal Exploration of Engineering Students Emotions and Electrodermal Activity in Design Activities,camera,eye gaze,gaze,visual attention,joint visual attention,learning gain,product,product,pre-post test,lab,correlation
2020,"Multimodal, Multiparty Modeling of Collaborative Problem Solving Performance",eye tracker:ns:own application,eye gaze:audio:log data,gaze:gaze:gaze:verbal,visual attention:visual attention:visual attention:speech participation,individual gaze (transition from image to text:gaze similarity (collaborative gaze:gaze similarity (gaze transition similarity:speech,learning gain:task performance,learning:learning,product:product,pre-post test:task outcome,lab,correlation:correlation:correlation:correlation
2020,Modeling Team-level Multimodal Dynamics during Multiparty Collaboration,smart wristband:microphone,eda:audio,physiological:physiological:physiological:physiological:physiological,eda:eda:eda:eda:eda,physiological synchrony (pc:physiological synchrony (da:physiological synchrony (sm:physiological synchrony (idm:cycles of physiological synchrony (pc,collaboration quality:task performance:learning gain,coordination:performance:learning,process:product:product,researcher coded:task outcome:pre-post test,lab,correlation:correlation:correlation:correlation
2020,Using the Tablet Gestures and Speech of Pairs of Students to Classify Their Collaboration,camera,video,body,gross body motion,body synchronization,cooperation:cultural style matching:language style matching:laughter,interpersonal relationship:group composition:group composition:interpersonal relationship,process:condition:condition:process,task outcome:video coding:video coding:video coding,lab,regression:regression:regression:regression
2020,Effects of Shared Gaze on Audio- Versus Text-Based Remote Collaborations,wearable sensor:wearable sensor,eda:ecg,physiological:physiological,eda:heart,eda synchrony:heart rate sychrony,collaboration quality,cognitive engagement:coordination:coordination,process,researcher coded,ecological,sup. machine learning:sup. machine learning
2020,Physiological evidence of interpersonal dynamics in a cooperative production task,electrodes,eda,physiological,eda,physiological synchrony (pc,confidenct:mental effort:task performance:task performance:emotion:group performance:gropu performance,affective:cognitive engagement:cognitive engagement:cognitive engagement:affective:performance:performance,process:process:process:process:process:product:product,questionnaire:questionnaire:questionnaire:questionnaire:questionnaire:questionnaire:performance score,lab,regression:regression:regression:regression:regression:regression:regression
2021,Another person's eye gaze as a cue in solving programming problems,eeg sensor,eeg,physiological,brain,inter-brain synchrony,tasks performance,performance,product,mixed - researcher coded & tests,ecological,correlation
2021,Eye gaze patterns in conversations: there is more to conversational agents than meets the eyes,eeg sensor,eeg,physiological,brain,mediation- anxiety level,learning gain,learning,product,researcher coded,lab,Mann-Whitney U and Kruskal-Wllis tests
2021,"Utilizing Interactive Surfaces to Enhance Learning, Collaboration and Engagement: Insights from Learners’ Gaze and Speech",eye tracker:computer system audio:ns,eye gaze:audio:log data,gaze:gaze:verbal,visual attention:visual attention:speech features,joint visual attention:joint mental effort:dialogue,learning performance,product,product,task outcome,lab,ANOVA:ANOVA
2021,Modelling Collaborative Problem-solving Competence with Transparent Learning Analytics: Is Video Data Enough?,camera:microphone:log data,video:audio:log data,head:verbal:log data:gaze,facial expressions:speech participation:task-related:gaze motion,affective states:speech activity:task- context:gaze behaviors,learning gain,learning,product,pre-post test,lab,Kruskal-Wallis:sup. machine learning:sup. machine learning:sup. machine learning
2022,Speakers’ eye gaze disambiguates referring expressions early during face-to-face conversation,camera,kinesiology,head,head motion,head rotation,peripheral awareness,coordination,process,researcher coded,lab,t-test
2022,Socialphysiological compliance as a determinant of team performance,microphone,audio,verbal,speech features,speech features,coordination,coordination,process,researcher coded,ecological,sup. machine learning
